"name","pos","sourceName","name_cbs","team_cbs","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","points"
"ANDREWLUCK","QB","cbs","Andrew Luck","IND",1,1,643,391,4834,33.4,15.8,61,316,3,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.6
"PEYTONMANNING","QB","cbs","Peyton Manning","DEN",2,2,616,408,4913,36.4,13.8,24.5,39,0.3,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.2
"AARONRODGERS","QB","cbs","Aaron Rodgers","GB",3,3,524,341,4250,33.4,11.4,43.5,248,1.7,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.2
"RUSSELLWILSON","QB","cbs","Russell Wilson","SEA",4,4,426,267,3597,25.5,13.9,105,750,4.1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.8
"DREWBREES","QB","cbs","Drew Brees","NO",5,5,629,439,5089,28.6,17.1,28.1,71,1.4,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.6
"BENROETHLISBERGER","QB","cbs","Ben Roethlisberger","PIT",6,6,615,407,4865,28.9,12.9,30.2,62,0.3,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.8
"CAMNEWTON","QB","cbs","Cam Newton","CAR",7,7,513,309,3727,23.3,16.9,119,641,5.2,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.2
"TONYROMO","QB","cbs","Tony Romo","DAL",8,8,477,321,4104,32.4,12,24.9,67,0.3,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327
"MATTRYAN","QB","cbs","Matt Ryan","ATL",9,9,673,444,4993,28.1,18.7,24.1,140,0.3,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.8
"JOEFLACCO","QB","cbs","Joe Flacco","BAL",10,10,589,358,4147,29.9,15.4,40.7,102,1.8,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318
"JAYCUTLER","QB","cbs","Jay Cutler","CHI",11,11,603,390,4109,29.1,19.4,38.5,201,2,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.2
"MATTHEWSTAFFORD","QB","cbs","Matthew Stafford","DET",12,12,631,380,4584,26,14.5,39.8,102,1.9,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.8
"ELIMANNING","QB","cbs","Eli Manning","NYG",13,13,577,365,4451,27.8,17,13.8,35.1,0.8,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302
"RYANTANNEHILL","QB","cbs","Ryan Tannehill","MIA",14,14,586,376,4095,24.9,15.2,49.4,302,0.9,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.2
"PHILIPRIVERS","QB","cbs","Philip Rivers","SD",15,15,552,362,4177,26.9,19.6,34.2,103,0.3,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.6
"COLINKAEPERNICK","QB","cbs","Colin Kaepernick","SF",16,16,466,277,3342,19.6,13.1,103,682,1.9,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280
"SAMBRADFORD","QB","cbs","Sam Bradford","PHI",17,17,489,305,3915,26,13.1,42.7,132,0.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.8
