"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"ANDREWLUCK","QB","fp","Andrew Luck","IND",1,1,639.6,393,4717.5,35.3,16.1,55.5,258.6,2.3,NA,NA,NA,NA,NA,5.5,NA,NA,326.3
"AARONRODGERS","QB","fp","Aaron Rodgers","GB",2,2,546.8,354.8,4379.9,34,8.8,49.1,244.9,2,NA,NA,NA,NA,NA,4.9,NA,NA,320.2
"RUSSELLWILSON","QB","fp","Russell Wilson","SEA",3,3,463.1,284.9,3554.1,24.9,10.6,103.5,644,3.9,NA,NA,NA,NA,NA,4.3,NA,NA,299.6
"PEYTONMANNING","QB","fp","Peyton Manning","DEN",4,4,596.9,393.7,4641.9,34.8,13.2,26.7,9.9,0.5,NA,NA,NA,NA,NA,3.5,NA,NA,295.4
"DREWBREES","QB","fp","Drew Brees","NO",5,5,621.8,415.7,4831.9,31.2,14.2,27.5,64.7,1.2,NA,NA,NA,NA,NA,4.1,NA,NA,295.2
"TOMBRADY","QB","fp","Tom Brady","NE",6,6,605.4,387.8,4367.1,31.1,11.6,32.7,57.3,1.3,NA,NA,NA,NA,NA,3.5,NA,NA,282.5
"MATTRYAN","QB","fp","Matt Ryan","ATL",7,7,622.5,408.6,4677,28.4,14.7,26.6,93.4,0.8,NA,NA,NA,NA,NA,3.4,NA,NA,278.5
"CAMNEWTON","QB","fp","Cam Newton","CAR",8,8,501.3,300.5,3593.1,21.8,14.5,104.8,565.5,4.6,NA,NA,NA,NA,NA,5.8,NA,NA,274.4
"TONYROMO","QB","fp","Tony Romo","DAL",9,9,507.8,333.2,4095.1,31.8,11.3,27,67.8,0.8,NA,NA,NA,NA,NA,4.9,NA,NA,270.3
"BENROETHLISBERGER","QB","fp","Ben Roethlisberger","PIT",10,10,594.1,385.7,4539.7,28.6,13.4,28.1,68.6,0.4,NA,NA,NA,NA,NA,5.3,NA,NA,268.1
"MATTHEWSTAFFORD","QB","fp","Matthew Stafford","DET",11,11,626.9,381.3,4461.8,27.2,14.8,36.3,108.4,1.5,NA,NA,NA,NA,NA,5.3,NA,NA,266.9
"RYANTANNEHILL","QB","fp","Ryan Tannehill","MIA",12,12,585.1,372.3,4186.4,25.8,14.8,48.6,242.8,1.5,NA,NA,NA,NA,NA,5.7,NA,NA,262.8
"PHILIPRIVERS","QB","fp","Philip Rivers","SD",13,13,569.2,367.5,4367.4,28.6,16.1,33.8,72.3,0.5,NA,NA,NA,NA,NA,4.5,NA,NA,258
"ELIMANNING","QB","fp","Eli Manning","NYG",14,14,595.3,368.6,4396.8,27.8,16.5,23,66.1,0.7,NA,NA,NA,NA,NA,5.6,NA,NA,253.9
"COLINKAEPERNICK","QB","fp","Colin Kaepernick","SF",15,15,484.5,292.9,3524.8,18.3,11.6,96.7,582.7,2.5,NA,NA,NA,NA,NA,5.8,NA,NA,252.3
"JOEFLACCO","QB","fp","Joe Flacco","BAL",16,16,554.5,342.7,3932.5,25.6,14.3,42.1,118.3,1.5,NA,NA,NA,NA,NA,3.8,NA,NA,244
"JAYCUTLER","QB","fp","Jay Cutler","CHI",17,17,569.9,355.8,3984.4,25.3,17.2,41.5,195.2,1.4,NA,NA,NA,NA,NA,5.4,NA,NA,243.1
"TEDDYBRIDGEWATER","QB","fp","Teddy Bridgewater","MIN",18,18,518.3,319.6,3709,22.2,15,62.1,273.3,1.8,NA,NA,NA,NA,NA,3.5,NA,NA,238.5
