"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,355.780074202162,343.64,359.76,363.48,375,361.5,363.368,347.92,368.98,342.1,348.2,345.52,370.2,305.7,349.98,NA,358.39,638.645002396917,426.984071258262,205.810299976077,23.9999283127276,351.277625,355.780074202162,15.1588675213675,16.8014934449576,5.21627396275844,4.38460104852018
"DREWBREES","Drew Brees","QB","NO",2,331.591044082896,333.92,336.6,338.02,333.6,340.08,335.99,327.92,337.42,321.92,315.5,315.8,341.5,320.58,340.22,NA,331.42,636,421.499987048046,212.601630341261,24,331.576708333333,331.591044082896,19.4497863247863,8.9031068413544,5.1456904132571,3.45367436182724
"AARONRODGERS","Aaron Rodgers","QB","GB",3,330.838508673751,306.04,345.46,349.26,351.62,343.42,345.58,308.74,339.2,326.84,331.8,319.96,346.9,305,340.08,NA,316.64,549.025,361.8,184.500033733592,48.5000099386076,331.22875,330.838508673751,19.2551282051282,16.6233499575003,5.60649099427135,4.40752606910955
"ANDREWLUCK","Andrew Luck","QB","IND",4,304.827491282574,365.3,314.58,304.32,289.34,300.46,302.358,308,306.1,308.96,311.8,308.5,310,296.88,317,NA,288.98,595.500081013536,365.607928693539,229.594856914699,61.0000461575133,307.336875,304.827491282574,54.8623931623932,17.6394393572499,6.88835317803689,4.66996330990927
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",5,293.477807341467,224.08,323.82,323.28,291.24,308.3,305.79,298.96,277.06,291.88,292.8,293.48,290.4,284.34,299.58,NA,291.8,639.199996398589,387.15,253.999969963407,31.7500485522183,291.147041666667,293.477807341467,50.6606837606838,23.0448204489384,6.08634389768014,5.21173750326052
"NICKFOLES","Nick Foles","QB","PHI",6,292.049554858268,276.44,285.3,319.9,286.06,306.64,298.432,303.3,310.3,298.14,291.8,292.46,294,281.32,304.98,NA,297.92,524.37,333.060847378394,186.281272629141,63.0000056272531,292.933166666667,292.049554858268,67.3810897435897,11.5860834616773,11.0166559371862,4.42534132934267
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",7,289.660083575095,309.2,298.32,262.16,293.86,304.2,281.492,274.96,282.88,288.52,301.3,280.68,295,306.2,295.84,NA,282.02,495.25,306.5,190,94.4999141977308,288.25675,289.660083575095,96.2831196581197,13.0323395436488,11.0848984260982,4.6020023747063
"CAMNEWTON","Cam Newton","QB","CAR",8,288.92810583575,269.02,280.94,284.1,282.06,296.62,280.764,300.36,283.2,301.62,287.4,290.56,301.9,295.82,309.44,NA,273.16,482.121774456058,291.661845310701,188.726310796888,107.000018408195,287.807916666667,288.92810583575,86.111858974359,11.5589969378629,14.3583705394611,4.79677994060865
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,286.699907241335,315.8,309.14,301.1,272.52,304.24,293.02,300.4,285.22,294.88,293.4,279.98,288.9,274.36,299.22,NA,271.36,468.999955124644,278.499989630564,186.050014907135,88.3000471065701,289.517916666667,286.699907241335,92.3501068376068,13.47670837302,10.5482739087537,4.59377656491198
"MATTRYAN","Matt Ryan","QB","ATL",10,282.551547395472,254.86,304.98,300.04,267.68,292.48,289.922,264.76,282.4,281.32,270.4,274.54,270.5,293.62,287.48,NA,289.39,633.047286344224,416.025361206991,216.25,23.5000166088491,280.626833333333,282.551547395472,66.0012820512821,14.1562943052602,8.31534613265386,4.42288402835008
"TONYROMO","Tony Romo","QB","DAL",11,279.235669052119,291.2,295.94,291.08,271.06,NA,281.15,260.54,264.16,267.4,264,266.28,295.9,275.3,287.68,NA,281.23,596.249976515185,380.625,216.75,22.9999628159218,277.157428571429,279.235669052119,79.5349358974359,12.707195244782,10.9018263912999,4.54348339452331
"TOMBRADY","Tom Brady","QB","NE",12,277.963120898385,216.04,295.42,309.76,265.58,NA,285.838,287.3,267.84,274.22,290.2,277.84,294.1,264.42,292.68,NA,291.72,629.349996428457,389.75,235.700011916037,29.000041356315,278.558557142857,277.963120898385,66.2979700854701,22.422085468779,8.16093209474523,5.371523944899
"RUSSELLWILSON","Russell Wilson","QB","SEA",13,277.032643585092,338.58,281.74,281,278.26,NA,278.302,286.88,278.14,283.64,289.6,263.46,297,271.56,290.58,NA,261.44,435.499932861293,277.325,157.000064118155,87.0000027770554,280.913776190476,277.032643585092,103.105662393162,18.4584114260579,12.7393070959052,5.42155732705193
"PHILIPRIVERS","Philip Rivers","QB","SD",14,267.585591536689,275.58,265.18,277.44,268.18,NA,266.274,246.6,263.26,261,258,265.92,274.9,276.92,272.02,NA,259.23,556,365,187.099976878817,27.4999788588307,265.377766666667,267.585591536689,102.073611111111,8.67592603538254,15.6437248286311,4.60394839754954
"JAYCUTLER","Jay Cutler","QB","CHI",15,265.646387720789,269.56,292.98,274.68,251.72,NA,272.374,280.14,270.66,260.88,264,257.98,265.5,276.74,275.54,NA,257.42,553.949925958657,342.899957255752,209.5,32.000015293274,264.960314285714,265.646387720789,76.7910256410256,10.7582162794993,9.14746245618493,4.11906050225252
"JAMAALCHARLES","Jamaal Charles","RB","KC",16,262.69214647048,296.54,293.2,242.9,250.7,261.4,259.83,270.6,252.3,259.3,260,266.7,301,237.9,243.8,NA,245.7,0,0,0,255.625,260.951402777778,262.69214647048,3.35021367521368,19.9191174742352,0.810891022108977,4.2550896071263
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",17,257.157903217489,220,280.84,277.54,243.76,NA,265.162,262.84,259.68,251.12,259.2,248.7,263,280.56,267.96,NA,237.58,565.75,356.25,207.75,28.0000076763538,257.200276190476,257.157903217489,122.879807692308,17.1209972063738,13.8607869310068,5.39098274093778
"LESEANMCCOY","LeSean McCoy","RB","PHI",18,252.627178070712,301.86,280.2,238.8,246.4,257.4,254.38,244,255,241.9,242,245,244.5,288.7,251.6,NA,232,0,0,0,291.999982938983,254.6675,252.627178070712,1.5917735042735,19.8592334767915,0.693254792551688,4.23490455332615
"ANDYDALTON","Andy Dalton","QB","CIN",19,249.439198168769,261.06,263.26,255.22,246.18,NA,251.3,251.16,244.6,252.56,259.8,254.44,251,260.86,268.2,NA,246.2,537,331.606859565879,206.05,51.0000358376668,251.973976190476,249.439198168769,130.303418803419,7.06822949060571,12.7727037016641,4.09423162708103
"ALEXSMITH","Alex Smith","QB","KC",20,246.33635341478,269.4,256.96,237.66,219.58,NA,241.414,130.32,258.06,244.98,251.8,248.96,256.6,257.24,271.74,NA,270.18,534.29997961158,321.5,209,60.9999895888041,241.041338095238,246.33635341478,160,35.5748822604679,9.4,7.04747321504684
"ADRIANPETERSON","Adrian Peterson","RB","MIN",21,241.110002960426,223.72,246.6,218.6,255.4,239.7,237.08,269,242.2,236,245,230.2,241,244.1,252,NA,231,0,0,0,299.999983685518,240.661833333333,241.110002960426,2.59444444444444,12.6181675524203,0.793879322991939,3.39998540981442
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",22,240.341835723405,219.16,253.98,256.4,231.78,NA,244.718,224.64,234.9,236.6,256.4,241,245,255.08,265.82,NA,252.96,560.850054610326,339.924338406401,221.500063036242,42.2500314377695,241.906866666667,240.341835723405,146.356444683136,13.5166716536804,14.0154997281513,4.98712041506679
"MATTFORTE","Matt Forte","RB","CHI",23,238.206268829143,253.02,258.8,238.4,240.3,243.4,241.72,239.5,230.5,223.3,237,228.2,237.5,272.3,238.7,NA,226.1,0,0,0,275.260080645161,239.967888888889,238.206268829143,3.17713675213675,12.8093333531602,1.36591850131143,3.48645046917077
