"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,474.978537499457,410.44,439.56,439.48,465.4,437.5,444.268,426.12,455.38,418.9,428.2,418.12,453.2,361.7,423.98,NA,423.09,638.645002396917,426.984071258262,205.810299976077,23.9999283127276,470.253458333333,474.978537499457,18.7835816388162,24.332952633943,5.4826,4.8239261725223
"DREWBREES","Drew Brees","QB","NO",2,437.712762268225,393.98,403.8,410.02,402,404.08,404.39,391.92,408.22,386.32,374.1,374,410.5,376.58,404.22,NA,388.56,638.4,421.601508134058,212.999962203179,24,439.020041666667,437.712762268225,20.7309945641232,12.9922847801887,3.9413,3.44770329699639
"AARONRODGERS","Aaron Rodgers","QB","GB",3,434.598267703782,356.36,424.46,421.26,432.02,407.42,420.2,371.54,412.4,392.24,403.2,374.56,420.9,359,400.08,NA,364.24,549.025,361.8,184.500033733592,48.5000099386076,435.394083333333,434.598267703782,25.9478759814778,25.9309175273364,6.2652,5.08165160222061
"ANDREWLUCK","Andrew Luck","QB","IND",4,393.520654466188,405.71,370.78,357.32,337.94,341.46,354.518,355.8,360.5,364.36,367.8,362.7,368,340.88,362,NA,328.08,595.500081013536,365.607928693539,229.594856914699,61.0000461575133,396.282041666667,393.520654466188,55.8815079524864,18.1225959004616,8.6065,4.51806310225985
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",5,380.912672160198,243.16,384.82,383.68,344.04,359.3,361.09,345.36,323.66,343.68,342.8,340.48,340.4,327.34,345.58,NA,330.42,639.199996398589,387.15,253.999969963407,31.7500485522183,378.245791666667,380.912672160198,49.2423293738675,32.4173484859133,6.8652,5.83702422096797
"NICKFOLES","Nick Foles","QB","PHI",6,380.755569757857,312.94,338.7,378.5,341.06,354.64,354.512,366.1,373.7,354.74,349.4,348.26,351,325.32,353.98,NA,343.86,524.37,333.060847378394,186.281272629141,63.0000056272531,381.641375,380.755569757857,69.3244111133481,16.786201421746,9.3239,4.45734291540902
"MATTRYAN","Matt Ryan","QB","ATL",7,370.204105239093,285.11,361.98,352.24,314.48,338.48,340.122,306.96,326.8,333.72,312.4,317.94,315.5,341.62,334.48,NA,329.25,633.047286344224,416.025361206991,216.25,23.5000166088491,368.788291666667,370.204105239093,64.1619488624925,19.3145811606031,14.163,5.27148203799029
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",8,369.080280440385,340.94,359.32,306.76,345.06,340.2,331.972,322.96,330.68,337.52,355.3,331.08,345,343.2,324.84,NA,307.32,495.25,306.5,190,94.4999141977308,367.47225,369.080280440385,97.6512381719348,15.1072216499578,13.2152,4.71847733831102
"CAMNEWTON","Cam Newton","QB","CAR",9,368.28183670103,292.55,324.94,334.1,328.26,325.62,326.764,350.76,335,358.02,339.4,345.76,359.9,330.82,347.44,NA,296.06,483.091252362908,292.499961545242,188.999947022543,107.000018408195,366.984791666667,368.28183670103,82.1298268572579,19.3995961794005,19.9543,5.93404201567196
"TOMBRADY","Tom Brady","QB","NE",10,367.651836433791,237.64,353.62,365.96,313.38,NA,337.838,340.7,314.44,325.82,346.6,328.04,355.1,312.42,340.68,NA,336.64,629.349996428457,389.75,235.700011916037,28.5000443244026,368.034716233766,367.651836433791,62.7606200926112,30.9601662307063,10.3391,6.07456912857015
