"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,3.35021367521368,1,262.69214647048,296.54,293.2,242.9,250.7,261.4,259.83,270.6,252.3,259.3,260,266.7,301,237.9,243.8,NA,245.7,260.951402777778,262.69214647048,108.317104034027,0.810891022108977,19.9191174742352,4.2550896071263,246.868590515569,15.8235559549108
"CALVINJOHNSON","Calvin Johnson","WR","DET",2,5.48621794871795,1,227.021826017186,181.98,231.8,231,238.4,227.4,229.66,230.5,219.7,220.3,218,239.2,227,203,238.7,NA,205.7,223.324972222222,227.021826017186,104.338553952282,1.08576772198272,15.6937983505163,3.79212756914812,210.202420391821,16.8194056253646
"LESEANMCCOY","LeSean McCoy","RB","PHI",3,1.5917735042735,2,252.627178070712,301.86,280.2,238.8,246.4,257.4,254.38,244,255,241.9,242,245,244.5,288.7,251.6,NA,232,254.6675,252.627178070712,98.2521356342588,0.693254792551688,19.8592334767915,4.23490455332615,239.658135894784,12.9690421759275
"JIMMYGRAHAM","Jimmy Graham","TE","NO",4,12.2930555555556,1,192.641177722454,253.78,202.9,201.8,189.5,189.5,195.43,220,180.6,186.4,195,184.1,187,150.3,192.5,NA,184.2,194.688208333333,192.641177722454,95.3591019587351,4.31231230317194,22.0793201456756,4.90004029911536,148.504238924003,44.1369387984514
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",5,8.91153846153846,2,216.425283178581,263.36,214,224.6,218,219.7,219.36,233,222.9,207.3,210,210.5,233,168.5,218.3,NA,197.6,217.437166666667,216.425283178581,93.7420111136773,2.36471168411458,20.1610862330192,4.45754860509856,199.86327943144,16.5620037471411
"ADRIANPETERSON","Adrian Peterson","RB","MIN",6,2.59444444444444,3,241.110002960426,223.72,246.6,218.6,255.4,239.7,237.08,269,242.2,236,245,230.2,241,244.1,252,NA,231,240.661833333333,241.110002960426,86.7349605239731,0.793879322991939,12.6181675524203,3.39998540981442,230.907698747424,10.2023042130023
"MATTFORTE","Matt Forte","RB","CHI",7,3.17713675213675,4,238.206268829143,253.02,258.8,238.4,240.3,243.4,241.72,239.5,230.5,223.3,237,228.2,237.5,272.3,238.7,NA,226.1,239.967888888889,238.206268829143,83.8312263926894,1.36591850131143,12.8093333531602,3.48645046917077,215.733203493268,22.4730653358746
"DEZBRYANT","Dez Bryant","WR","DAL",8,14.5651709401709,3,203.979557605061,285.84,199.5,205.3,205.5,197.8,200.9,220.5,194.6,197.1,201.5,199.8,210,185.2,215.1,NA,203.5,207.189777777778,203.979557605061,81.2962855401572,4.70556709572363,23.0800010728728,5.06106459405,193.730140636179,10.2494169688819
"PEYTONMANNING","Peyton Manning","QB","DEN",9,15.1588675213675,1,355.780074202162,343.64,359.76,363.48,375,361.5,363.368,347.92,368.98,342.1,348.2,345.52,370.2,305.7,349.98,NA,358.39,351.277625,355.780074202162,77.7029296902974,5.21627396275844,16.8014934449576,4.38460104852018,331.214776378323,24.565297823839
"AJGREEN","A.J. Green","WR","CIN",10,14.8053418803419,4,195.747001257819,226.56,193.4,194.8,199.6,196.6,194.52,204.7,190.7,195.1,199,199.6,197,165.3,216.3,NA,183,197.406777777778,195.747001257819,73.0637291929151,3.70281135163846,13.6048866570942,3.84138384682578,190.498660675205,5.24834058261419
"EDDIELACY","Eddie Lacy","RB","GB",11,9.95224358974359,5,223.609128665705,241.72,244.9,195.9,218.1,220.6,218.08,242.7,215.1,213.4,222,217.1,235.5,252.6,234.6,NA,218.8,225.496944444444,223.609128665705,69.2340862292523,4.68955894128279,15.2123871831322,4.13985190651632,206.881567594715,16.7275610709908
"JULIOJONES","Julio Jones","WR","ATL",12,18.6975427350427,5,191.713280014539,210.34,194.2,201.3,194.6,197.7,200.92,208.7,208.1,183.3,185,195.5,183,169.4,202.6,NA,192.22,194.513402777778,191.713280014539,69.0300079496354,2.12630942178559,11.2732134261878,3.39217708529334,188.138514379179,3.57476563536002
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",13,16.483547008547,6,189.28404133587,200.26,188.3,195.8,195,192.6,189.71,206,177.4,183.1,189,179.2,193,168.9,203,NA,191.4,190.870819444444,189.28404133587,66.6007692709665,1.78650958510338,9.92236449354977,3.19622402928122,186.370029958133,2.91401137773758
"JORDYNELSON","Jordy Nelson","WR","GB",14,17.3746794871795,7,186.992987422488,187.8,187.2,192,188.6,185.3,186.26,183.8,175.9,190.8,183,180.3,196,187.4,190,NA,167.6,185.452277777778,186.992987422488,64.3097153575842,2.97976437765506,6.92607990548353,2.97983791593663,184.522624175013,2.47036324747469
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",15,24.4784188034188,8,185.747072493777,184.56,182.5,169.6,190.9,186.6,184.75,181.4,175.4,180.4,181.5,171.8,181,141.9,187.6,NA,175.01,180.428986111111,185.747072493777,63.0638004288737,4.58313856466514,11.6687691846961,3.71381107933156,176.993133658361,8.75393883541611
"ANTONIOBROWN","Antonio Brown","WR","PIT",16,19.0711538461538,9,183.298175856249,165.7,185.5,171.5,190.2,185.5,184.69,181,187.6,178.7,179,173.2,187,169.1,189.9,NA,174.83,183.396694444444,183.298175856249,60.6149037913453,2.85693837430262,7.85009208317238,3.07405030260917,169.633131329098,13.6650445271506
