"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"ANTONIOBROWN","WR","PIT","average","Antonio Brown",60,2015,1,1,212.3,232.8,102.103776948229,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,7.12700021745407,0,0,0,0,0,0,3.525,21.12,0.22,114.78,171,1548.38333333333,9.58333333333333,1.1,0.15,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.320333333333
"ANTONIOBROWN","WR","PIT","averageRobust","Antonio Brown",60,2015,1,1,212.3,232.8,101.224300328923,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,6.76447175025803,0,0,0,0,0,0,4.7,26.4119633915932,0,115.95,171,1546.5,9.5999433958113,1.1,0.15,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.440856714027
"ANTONIOBROWN","WR","PIT","averageWeighted","Antonio Brown",60,2015,1,1,212.3,232.8,102.103776948229,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,7.12700021745407,0,0,0,0,0,0,3.525,21.12,0.22,114.78,171,1548.38333333333,9.58333333333333,1.1,0.15,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.320333333333
"ANTONIOBROWN","WR","PIT","cbs","Antonio Brown",60,2015,1,1,212.3,232.8,105.983443614896,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,3.96424316371517,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,171,1597,10.2,1.1,0.15,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.2
"ANTONIOBROWN","WR","PIT","espn","Antonio Brown",60,2015,1,1,212.3,232.8,94.6334436148959,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,5.49460539317244,0,0,0,0,0,0,5,30,0,115,171,1513,9,1.1,0.15,1.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.85
"LEVEONBELL","RB","PIT","fox","Le'Veon Bell",647,2015,1,1,207.3,271.2,124.158124635785,3.16114649681529,3.86351612753141,10.837806,1.9913,6.63408598533379,NA,NA,NA,NA,NA,NA,253,1071,11,77,79.1,741,5,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.2
"ANTONIOBROWN","WR","PIT","fp","Antonio Brown",60,2015,1,1,212.3,232.8,102.293443614896,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,6.84155851151334,NA,NA,NA,NA,NA,NA,4.7,24.8,0,116.9,171,1539.3,10,1.1,0.15,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.51
"ANTONIOBROWN","WR","PIT","nfl","Antonio Brown",60,2015,1,1,212.3,232.8,114.583443614896,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,3.1885470826785,0,0,0,NA,NA,NA,3.525,22,1,114.78,171,1580,10,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.8
"ANTONIOBROWN","WR","PIT","yahoo","Antonio Brown",60,2015,1,1,212.3,232.8,99.6634436148959,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,8.09644482961552,0,0,0,0,0,0,4.4,28.8,0.1,116,171,1524,9.3,1.1,0.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.88
"DEMARYIUSTHOMAS","WR","DEN","average","Demaryius Thomas",291,2015,2,2,194.6,222.4,87.4784436148959,11.9617834394904,4.62127589744158,12.23145,2.5413,3.45145787104789,0,0,0,0,0,0,0,0,0,100.38,162,1408.28333333333,10.85,0,0.433333333333333,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.695
"DEMARYIUSTHOMAS","WR","DEN","averageRobust","Demaryius Thomas",291,2015,2,2,194.6,222.4,87.1334436148959,11.9617834394904,4.62127589744158,12.23145,2.5413,2.48735555489257,0,0,0,0,0,0,0,0,0,101,162,1397,11,0,0.3,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.35
"DEMARYIUSTHOMAS","WR","DEN","averageWeighted","Demaryius Thomas",291,2015,2,2,194.6,222.4,87.4784436148959,11.9617834394904,4.62127589744158,12.23145,2.5413,3.45145787104788,0,0,0,0,0,0,0,0,0,100.38,162,1408.28333333333,10.85,0,0.433333333333333,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.695
"JAMAALCHARLES","RB","KC","cbs","Jamaal Charles",441,2015,1,2,214.4,245.5,97.0914579691187,3.60350318471338,4.28241501660214,13.499073,1.5913,0.633209409680371,NA,NA,NA,NA,NA,NA,219,1052,9.8,47.9,69.4,388,7.5,0,0.766666666666667,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.133333333333
"EDDIELACY","RB","GB","espn","Eddie Lacy",354,2015,1,2,218.1,244.2,85.1781246357853,3.13757961783439,3.80111411227195,10.474569,1.9913,2.45177243790459,0,0,0,0,0,0,301,1332,9,45,55.5,318,3,0,0.15,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.22
"ANTONIOBROWN","WR","PIT","fox","Antonio Brown",60,2015,1,2,212.3,232.8,94.0834436148959,6.2171974522293,3.8782703304918,8.41375499999999,1.7913,5.85757943213801,NA,NA,NA,NA,NA,NA,0,0,0,104,171,1537,9,1.1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.3
"DEMARYIUSTHOMAS","WR","DEN","fp","Demaryius Thomas",291,2015,2,2,194.6,222.4,88.9201102815625,11.9617834394904,4.62127589744158,12.23145,2.5413,2.56293813216198,NA,NA,NA,NA,NA,NA,0,0,0,101.9,162,1388.7,11.4,0,0.433333333333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.136666666667
"LEVEONBELL","RB","PIT","nfl","Le'Veon Bell",647,2015,1,2,207.3,271.2,105.458124635785,3.16114649681529,3.86351612753141,10.837806,1.9913,1.03844076569788,0,0,0,NA,NA,NA,243.34,1165,10,66.42,79.1,600,3,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.5
"ADRIANPETERSON","RB","MIN","yahoo","Adrian Peterson",11,2015,1,2,218.433333333333,246.6,89.6581246357853,1.92993630573248,3.18921517336623,7.20049400000002,1.4749249116859,5.88672736094227,0,0,0,0,0,0,283,1324,9.2,49.9,63.1,421,2,0,0.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.7
"JAMAALCHARLES","RB","KC","average","Jamaal Charles",441,2015,1,3,214.4,245.5,85.6464579691186,3.60350318471338,4.28241501660214,13.499073,1.5913,0.047614807425775,0,0,0,0,0,0,239.72,1140.31666666667,9.43333333333333,50.24,69.4,424.833333333333,4,0,0.766666666666667,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.688333333333
"JAMAALCHARLES","RB","KC","averageRobust","Jamaal Charles",441,2015,1,3,214.4,245.5,84.3081203208706,3.60350318471338,4.28241501660214,13.499073,1.5913,0.0789167139399401,0,0,0,0,0,0,238.8,1140.99995685085,9.45,50.5,69.4,423.5,3.7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.349995685085
"JAMAALCHARLES","RB","KC","averageWeighted","Jamaal Charles",441,2015,1,3,214.4,245.5,85.6464579691186,3.60350318471338,4.28241501660214,13.499073,1.5913,0.0476148074257872,0,0,0,0,0,0,239.72,1140.31666666667,9.43333333333333,50.24,69.4,424.833333333333,4,0,0.766666666666667,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.688333333333
"EDDIELACY","RB","GB","cbs","Eddie Lacy",354,2015,2,3,218.1,244.2,95.6581246357853,3.13757961783439,3.80111411227195,10.474569,1.9913,1.15687680071795,NA,NA,NA,NA,NA,NA,297,1368,9,42.3,55.5,392,2.9,0,0.15,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.7
