"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,2.68680289913429,1,324.317188830308,361.97,354.2,308.5,312.9,323.2,321.61,331.4,313.1,322.1,322,332.5,373,233.9,241.8,NA,243.1,323.089907051282,324.317188830308,113.626713678821,1.2913,42.2482609729453,6.25024059160212,311.883567320135,12.4336215101733
"PEYTONMANNING","Peyton Manning","QB","DEN",2,18.7835816388162,1,474.978537499457,410.44,439.56,439.48,465.4,437.5,444.268,426.12,455.38,418.9,428.2,418.12,453.2,361.7,423.98,NA,423.09,470.253458333333,474.978537499457,107.342592129026,5.4826,24.332952633943,4.8239261725223,436.155514986003,38.8230225134539
"LESEANMCCOY","LeSean McCoy","RB","PHI",3,1.77653513187034,2,317.757134933109,389.73,345.2,301,313.6,322.2,318.74,306.6,322.8,309.1,307,315,312.7,284.7,250.6,NA,230.4,321.271346153846,317.757134933109,107.066659781623,1.1913,36.4582318485662,5.62512231815109,305.134181646022,12.6229532870867
"ADRIANPETERSON","Adrian Peterson","RB","MIN",4,2.52155224481578,3,306.00999970716,289.11,314.8,281.2,323,305.3,302.36,338.2,309.8,300.8,313.4,297.6,310,240.1,249,NA,227.9,305.725551282051,306.00999970716,95.3195245556738,1.2913,31.4524032392409,5.10571147728185,296.013769454169,9.99623025299184
"MATTFORTE","Matt Forte","RB","CHI",5,4.02075699617475,4,304.258363584884,328.42,325.6,305,308.3,309.8,307.94,306.5,297.5,288.7,305,296.2,305.5,268.3,236.7,NA,223.9,306.512461538462,304.258363584884,93.5678884333979,1.5913,29.597861119634,4.9429560604305,276.938026528861,27.3203370560236
"JIMMYGRAHAM","Jimmy Graham","TE","NO",6,9.53899738272599,1,209.556174852392,275.25,220.5,219.2,206.3,206.3,212.97,236.8,199,203.2,213,201.3,205,149.3,192.5,NA,183.9,212.323336538462,209.556174852392,92.7772671231992,3.3739,26.876026722359,4.85556526730782,162.142220848959,47.4139540034321
"CALVINJOHNSON","Calvin Johnson","WR","DET",7,5.77993758808134,1,244.831747342949,200.36,249.8,248.6,257.2,245.2,247.42,247.3,238.3,238.5,236,259.8,246,202,237.7,NA,203.8,241.145826923077,244.831747342949,81.5605635822956,1.3413,19.3902662866364,3.83257952782934,228.214953118239,16.6167942247099
"EDDIELACY","Eddie Lacy","RB","GB",8,5.96649889269177,5,287.769175323453,312.33,306.9,255.5,284.1,282.4,280.16,317.5,279.1,278.6,288.4,282.1,303.1,247.6,233.6,NA,221.8,290.131057692308,287.769175323453,77.0787001719661,1.5413,27.9685104733026,4.76457701725344,263.90189353892,23.8672817845322
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",9,8.14589289309442,2,234.225314326325,284.49,231.6,244,236.6,237.5,237.82,251,242.1,225.1,228,229.3,252,167.5,217.3,NA,197.2,235.62408974359,234.225314326325,70.9541305656719,1.8913,26.0573275865423,4.60145928677126,217.743671354597,16.4816429717286
"DREWBREES","Drew Brees","QB","NO",10,20.7309945641232,2,437.712762268225,393.98,403.8,410.02,402,404.08,404.39,391.92,408.22,386.32,374.1,374,410.5,376.58,404.22,NA,388.56,439.020041666667,437.712762268225,70.0768168977934,3.9413,12.9922847801887,3.44770329699639,414.059461084985,23.6533011832406
"AARONRODGERS","Aaron Rodgers","QB","GB",11,25.9478759814778,3,434.598267703782,356.36,424.46,421.26,432.02,407.42,420.2,371.54,412.4,392.24,403.2,374.56,420.9,359,400.08,NA,364.24,435.394083333333,434.598267703782,66.9623223333498,6.2652,25.9309175273364,5.08165160222061,387.216663313193,47.3816043905887
"DEZBRYANT","Dez Bryant","WR","DAL",12,10.0866217032414,3,222.204591910153,307.88,217.3,224.3,225.7,216.2,219.2,239.3,212.4,215.5,220.5,219.6,229,184.2,213.1,NA,204.2,225.64761965812,222.204591910153,58.9334081494995,2.7826,26.3912901938355,4.73744755509419,211.714721893894,10.4898700162587
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",13,15.1713005838534,6,266.106877734269,314.86,259.1,241.2,301.6,262.6,261.25,282.6,266.2,262.3,274.4,257.6,276.1,184.1,231.6,NA,203.5,267.031644230769,266.106877734269,55.4164025827825,4.3739,33.6577523370315,5.68738364115593,261.066988871837,5.03988886243218
"MONTEEBALL","Montee Ball","RB","DEN",14,10.7899939601369,7,261.696909343572,201.58,296.6,248.1,241.8,267.1,263.75,282.1,274.9,272.5,292.1,265,259.4,211.7,211.8,NA,194.1,260.882580128205,261.696909343572,51.0064341920853,2.4913,33.0488947009182,5.41038420782461,258.555913586255,3.14099575731683
"AJGREEN","A.J. Green","WR","CIN",15,14.8236863297765,4,213.28275079904,246.05,211.8,212.8,217.6,214.6,212.76,222.7,209.3,212.9,217.8,219.4,215.8,164.3,216.3,NA,181.2,215.642760683761,213.28275079904,50.011567038387,4.4652,18.254478302467,4.06469980446437,209.241904579068,4.04084621997225
