"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"AARONDOBSON","Aaron Dobson","WR",86.6669641647409,7.30522584336118,1,"NE",189,138.9,73,40.03,99.9,52.7,99.8,NA,80.84,110.3,80.3,55.8,90.5,97.7,40.2,98.4,113.3,NA,94.5,86.5924556277056,86.6669641647409,-74.8084670341007,30.8,25.1409234817754,1,1,1,1,NA,0,170,2,194,NA,NA,1,1,4.98360662170834
"AARONMELLETTE","Aaron Mellette","WR",0,NA,1,"BAL",648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"AARONMURRAY","Aaron Murray","QB",0,NA,1,"KC",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"AARONRODGERS","Aaron Rodgers","QB",433.825315640381,4.80642193113772,47,"GB",3,26.3,3,356.36,424.46,421.26,432.02,407.42,420.2,371.54,412.4,392.24,403.2,374.56,420.9,354,400.08,NA,364.68,434.377416666667,433.825315640381,65.3386728162854,7.3,26.4463343035521,38.5,36,37.25,38.5,20.1,45.1,10.3,41,15,17.5,5.3,37.25,32,9.08386970792223
"ACESANDERS","Ace Sanders","WR",41.6490603622369,4.95062863039589,1,"JAC",290,NA,115,30.42,53.8,NA,49.4,NA,41.36,51.6,31.7,37.5,28.8,48,25.5,40.1,80.1,NA,21.27,42.782999000999,41.6490603622369,-119.826370836605,NA,15.5757522763544,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ACLEONARD","A.C. Leonard","TE",1.85,NA,1,"MIN",599,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,1.85,1.85,-114.88252808119,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ADAMTHIELEN","Adam Thielen","WR",6.005,3.00581709611318,1,"MIN",532,NA,210,NA,NA,NA,NA,NA,9.61,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,6.005,6.005,-155.470431198842,NA,5.09823989235501,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ADRIANPETERSON","Adrian Peterson","RB",302.520274376837,4.39411893333117,74,"MIN",23,3,4,289.11,314.8,281.2,323,305.3,301.04,310.6,303.2,300.8,313.4,297.6,310,238.9,249,NA,226.7,303.121256410256,302.520274376837,92.1511834511475,1.1,29.4516498850638,62.7,56,59.35,62.7,3.2,60.3,2.3,57,3,2.7,1.1,59.35,63,9.10631230155214
"ADRIENROBINSON","Adrien Robinson","TE",50.954633976353,9.47302764494586,1,"NYG",262,223.7,40,58.7,61.3,66.4,NA,NA,59.31,58,50,41,8.4,42.4,30,74.9,NA,NA,11.89,49.5333666333666,50.954633976353,-65.7778941048371,53.7,20.9897753608029,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,1.38629436111989
"AHMADBRADSHAW","Ahmad Bradshaw","RB",99.2443582672995,6.3484127005846,1,"IND",164,139.8,52,65.2,106.2,84.2,65.5,NA,85.63,119.6,74.8,105,122.6,83.1,132,133.8,104.3,NA,87,99.9812532467533,99.2443582672995,-111.12473265839,23.8,23.240239792317,1,1,1,1,NA,1.2,145.5,3,178,129.2,13.8,1,1,0.693147180559945
