"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"ADRIANPETERSON","Adrian Peterson","RB","MIN",1.69934640522876,1.03121743947571,1,1.03121743947571,1
"EDDIELACY","Eddie Lacy","RB","GB",2.38562091503268,1.08112984620165,1,1.08112984620165,2
"LEVEONBELL","LeVeon Bell","RB","PIT",2.77777777777778,1.163500778655,1,1.4826,3
"JAMAALCHARLES","Jamaal Charles","RB","KC",3.94117647058824,1.13504701494391,1,1.13504701494391,4
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",6.92156862745098,2.65510189181707,1,1.4826,6
"ANTONIOBROWN","Antonio Brown","WR","PIT",7.22222222222222,2.88858061967414,1,2.9652,7
"CJANDERSON","CJ Anderson","RB","DEN",7.94771241830065,2.51367629584724,1,2.9652,8
"DEZBRYANT","Dez Bryant","WR","DAL",8.47058823529412,3.72155233524833,1,1.4826,7
"JULIOJONES","Julio Jones","WR","ATL",9.44444444444444,5.31239057532222,1,4.4478,8
"JEREMYHILL","Jeremy Hill","RB","CIN",10.2352941176471,3.83044697281816,1,1.4826,9
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",13.0588235294118,5.59769893487291,1,2.9652,11
"ANDREWLUCK","Andrew Luck","QB","IND",15.3006535947712,5.19657512348626,1,5.9304,16
"LESEANMCCOY","LeSean McCoy","RB","BUF",16.8954248366013,3.08813360513829,1,1.4826,16
"DEMARCOMURRAY","DeMarco Murray","RB","PHI",17.437908496732,5.46923444801349,1,2.9652,20
"AJGREEN","A.J. Green","WR","CIN",17.5555555555556,1.77372032426387,1,1.4826,17
"MATTFORTE","Matt Forte","RB","CHI",18.0065359477124,6.26360471506403,1,2.9652,21
"TYHILTON","T.Y. Hilton","WR","IND",18.078431372549,5.13110656491567,1,2.9652,16
"LAMARMILLER","Lamar Miller","RB","MIA",18.640522875817,6.113263601126,1,2.9652,16
"JUSTINFORSETT","Justin Forsett","RB","BAL",19.0261437908497,4.16692316793256,1,5.9304,18
"ODELLBECKHAM","Odell BeckhamJr","WR","NYG",19.202614379085,4.00222803050826,1,4.4478,19
"AARONRODGERS","Aaron Rodgers","QB","GB",19.3006535947712,5.26053661455299,1,5.9304,17
"CALVINJOHNSON","Calvin Johnson","WR","DET",20.0718954248366,2.89511646508482,1,1.4826,20
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",20.2549019607843,4.71138058742203,1,2.9652,22
"RANDALLCOBB","Randall Cobb","WR","GB",21.2156862745098,3.754675645061,1,4.4478,21
"FRANKGORE","Frank Gore","RB","IND",22.1830065359477,7.4070749595029,1,5.9304,26
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",23.8366013071895,6.74155940158603,1,5.9304,26
"BRANDINCOOKS","Brandin Cooks","WR","NO",24.3137254901961,5.25478153932555,1,1.4826,26
"MIKEEVANS","Mike Evans","WR","TB",27.3006535947712,7.28176250266265,1,2.9652,29
"MARKINGRAM","Mark Ingram","RB","NO",28.437908496732,4.42619633228437,1,4.4478,30
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",31.1307189542484,5.35885088056186,1,2.9652,29
"JIMMYGRAHAM","Jimmy Graham","TE","SEA",32.0653594771242,5.43054289181668,1,2.9652,31
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",33.1633986928105,3.8910700898084,1,1.4826,33
"ALFREDMORRIS","Alfred Morris","RB","WAS",35.6928104575163,7.45898603907857,1,4.4478,33
"JOSEPHRANDLE","Joseph Randle","RB","DAL",36.9934640522876,6.27197433503672,1,7.413,38
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",37.3398692810458,6.91130069957209,1,4.4478,35
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",38.7843137254902,6.92341352032253,1,10.3782,36
"ANDREJOHNSON","Andre Johnson","WR","IND",39.9084967320261,5.62355640011152,1,8.8956,40
