"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"ADRIANPETERSON","Adrian Peterson","RB","MIN",1.39087947882736,0.752109153140444,1,0.752109153140444,1
"EDDIELACY","Eddie Lacy","RB","GB",2.91530944625407,1.36218543841724,1,1.36218543841724,3
"LEVEONBELL","LeVeon Bell","RB","PIT",3.19869706840391,1.07994111257298,1,1.4826,4
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",4,0,0.0456026058631922,0,4
"ANTONIOBROWN","Antonio Brown","WR","PIT",4.76872964169381,2.42305093464753,1,2.9652,5
"JAMAALCHARLES","Jamaal Charles","RB","KC",4.8371335504886,1.12873443724306,1,1.12873443724306,5
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",5.3029315960912,1.31957034199109,1,1.4826,6
"CJANDERSON","CJ Anderson","RB","DEN",9.63192182410423,3.56792499615424,1,1.4826,9
"DEZBRYANT","Dez Bryant","WR","DAL",12.0065146579805,6.01577093182547,1,4.4478,9
"MATTFORTE","Matt Forte","RB","CHI",12.071661237785,4.73080001689966,1,2.9652,10
"DEMARCOMURRAY","DeMarco Murray","RB","PHI",13.1042345276873,4.63810041657453,1,5.9304,14
"JEREMYHILL","Jeremy Hill","RB","CIN",13.5211726384365,4.2812146197575,1,5.9304,13
"CALVINJOHNSON","Calvin Johnson","WR","DET",13.7198697068404,2.91822579884312,1,4.4478,14
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",14.1270358306189,3.79285775414217,1,1.4826,15
"RANDALLCOBB","Randall Cobb","WR","GB",14.4299674267101,4.07336490299144,1,1.4826,12
"JULIOJONES","Julio Jones","WR","ATL",14.557003257329,5.28648308504681,1,2.9652,18
"AJGREEN","A.J. Green","WR","CIN",14.6547231270358,4.5133790406155,1,1.4826,12
"ANDREWLUCK","Andrew Luck","QB","IND",15.3745928338762,5.95185526743751,1,4.4478,16
"ODELLBECKHAM","Odell BeckhamJr","WR","NYG",15.5700325732899,2.24135543409386,1,1.4826,15
"LESEANMCCOY","LeSean McCoy","RB","BUF",15.742671009772,4.63316793673334,1,5.9304,17
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",16.8013029315961,3.34452995946555,1,1.4826,18
"JUSTINFORSETT","Justin Forsett","RB","BAL",22.0456026058632,7.06305900408291,1,11.8608,22
"AARONRODGERS","Aaron Rodgers","QB","GB",22.6872964169381,5.05653671812877,1,2.9652,24
"TYHILTON","T.Y. Hilton","WR","IND",23.5211726384365,4.57422888170841,1,2.9652,23
"LAMARMILLER","Lamar Miller","RB","MIA",25.3908794788274,3.30927319713413,1,2.9652,25
"JORDYNELSON","Jordy Nelson","WR","GB",25.4255319148936,8.52509182204152,0.306188925081433,5.9304,24
"BRANDINCOOKS","Brandin Cooks","WR","NO",26.3061889250814,5.19087253267359,1,5.9304,26
"FRANKGORE","Frank Gore","RB","IND",28.4690553745928,4.86969286319897,1,2.9652,28
"ALFREDMORRIS","Alfred Morris","RB","WAS",28.8631921824104,4.03346056826588,1,1.4826,27
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",29.2833876221498,6.93252853475597,1,4.4478,27
"JIMMYGRAHAM","Jimmy Graham","TE","SEA",30.5798045602606,5.49235796722226,1,5.9304,28
"MIKEEVANS","Mike Evans","WR","TB",31.8631921824104,6.77515985670155,1,5.9304,34
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",32.5342019543974,6.80167003701404,1,7.413,35
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",34.3159609120521,3.44629752618517,1,2.9652,35
"MARKINGRAM","Mark Ingram","RB","NO",34.8827361563518,5.68445262442299,1,2.9652,38
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",35.1693811074919,5.26835173539858,1,2.9652,37
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",37.3224755700326,4.31257278751371,1,4.4478,37
"ANDREJOHNSON","Andre Johnson","WR","IND",37.6677524429967,5.31187802946879,1,4.4478,36
"CARLOSHYDE","Carlos Hyde","RB","SF",39.2182410423453,5.52604583014583,1,5.9304,40
"MELVINGORDON","Melvin Gordon","RB","SD",39.557003257329,5.83816395028838,1,10.3782,39
"JOSEPHRANDLE","Joseph Randle","RB","DAL",39.5765472312704,5.68766327498602,1,5.9304,40
"AMARICOOPER","Amari Cooper","WR","OAK",39.7882736156352,7.50364569018581,1,11.8608,41
"AMEERABDULLAH","Ameer Abdullah","RB","DET",40.8371335504886,7.2060832774164,1,10.3782,41
"GOLDENTATE","Golden Tate","WR","DET",42.114006514658,5.15352844796744,1,1.4826,43
"PEYTONMANNING","Peyton Manning","QB","DEN",45.0651465798046,5.62577433113429,1,2.9652,47
"ANDREELLINGTON","Andre Ellington","RB","ARI",45.7491856677524,6.13510399004636,1,1.4826,45
"DOUGMARTIN","Doug Martin","RB","TB",47.3615635179153,10.9190225641572,1,11.8608,51
"KEENANALLEN","Keenan Allen","WR","SD",48.8957654723127,8.22888752221791,1,5.9304,53
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",50.3387622149837,8.84262713632276,1,5.9304,52
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",50.9185667752443,8.97253692409157,1,10.3782,49
"JULIANEDELMAN","Julian Edelman","WR","NE",52.1954397394137,5.21883016454736,1,4.4478,50
"NICKTOON","Nick Toon","WR","NO",53,0,0.00651465798045603,0,53
"GREGOLSEN","Greg Olsen","TE","CAR",53.7068403908795,6.72027846139018,1,4.4478,56
"CHRISIVORY","Chris Ivory","RB","NYJ",53.8599348534202,10.9402681854513,1,11.8608,54
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",53.957654723127,10.5332417331896,1,13.3434,54
"JARVISLANDRY","Jarvis Landry","WR","MIA",54.1368078175896,7.39065256470809,1,7.413,53
"BRANDONMARSHALL","Brandon Marshall","WR","NYJ",54.1530944625407,6.95170185592435,1,2.9652,55
"DREWBREES","Drew Brees","QB","NO",55.0944625407166,6.3945086189767,1,2.9652,54
