"name","pos","sourceName","name_cbs","team_cbs","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","points"
"ANDREWLUCK","QB","cbs","Andrew Luck","IND",1,1,642,390,4832,32.8,15.9,61,316,3,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.8
"PEYTONMANNING","QB","cbs","Peyton Manning","DEN",2,2,601,398,4799,35.6,13.5,25.4,40.4,0.3,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.8
"AARONRODGERS","QB","cbs","Aaron Rodgers","GB",3,3,511,331,4088,31.9,11.1,44.9,254,1.6,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.2
"RUSSELLWILSON","QB","cbs","Russell Wilson","SEA",4,4,425,268,3600,25,13.7,105,749,4,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.8
"DREWBREES","QB","cbs","Drew Brees","NO",5,5,630,438,5068,28.6,17.1,28.1,70,1.4,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.6
"BENROETHLISBERGER","QB","cbs","Ben Roethlisberger","PIT",6,6,615,405,4789,29.2,12.9,30.2,61,0.3,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.8
"CAMNEWTON","QB","cbs","Cam Newton","CAR",7,7,512,309,3726,23.1,16.8,119,640,5.2,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.2
"MATTRYAN","QB","cbs","Matt Ryan","ATL",8,8,674,445,5010,28.1,18.6,24,139,0.3,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.2
"TONYROMO","QB","cbs","Tony Romo","DAL",9,9,477,322,4115,31.8,12,24.9,67,0.3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.6
"JAYCUTLER","QB","cbs","Jay Cutler","CHI",10,10,604,391,4119,30.2,19.5,38.3,200,2,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.6
"JOEFLACCO","QB","cbs","Joe Flacco","BAL",11,11,589,357,4132,29.2,15.7,40.9,103,1.8,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.2
"MATTHEWSTAFFORD","QB","cbs","Matthew Stafford","DET",12,12,632,380,4594,26,14.4,39.8,102,1.9,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311
"ELIMANNING","QB","cbs","Eli Manning","NYG",13,13,576,364,4448,28.2,17,13.8,35.2,0.8,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.4
"RYANTANNEHILL","QB","cbs","Ryan Tannehill","MIA",14,14,586,376,4091,25.1,15.3,49.4,302,0.9,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.4
"PHILIPRIVERS","QB","cbs","Philip Rivers","SD",15,15,552,362,4173,27.4,19.8,34.2,103,0.3,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.2
"COLINKAEPERNICK","QB","cbs","Colin Kaepernick","SF",16,16,466,277,3342,19.8,13.2,103,681,1.9,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.8
"CARSONPALMER","QB","cbs","Carson Palmer","ARZ",17,17,550,322,4021,25.3,11.9,23.7,53,0.2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.2
"SAMBRADFORD","QB","cbs","Sam Bradford","PHI",18,18,489,305,3912,25.8,13.3,42.7,133,0.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.2
"TEDDYBRIDGEWATER","QB","cbs","Teddy Bridgewater","MIN",19,19,513,328,3858,23.8,19,56,283,1.5,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.4
"ALEXSMITH","QB","cbs","Alex Smith","KC",20,20,471,297,3173,23.2,11.3,60,341,1,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262
"ANDYDALTON","QB","cbs","Andy Dalton","CIN",21,21,508,314,3541,22.3,20,60,198,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.8
"TOMBRADY","QB","cbs","Tom Brady","NE",22,22,457,284,3237,23.5,10,28.3,39.7,0.6,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.8
"JAMEISWINSTON","QB","cbs","Jameis Winston","TB",23,23,518,297,3710,22.6,19.3,31,134,0.9,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.8
"BLAKEBORTLES","QB","cbs","Blake Bortles","JAC",24,24,583,333,3627,18.9,24.7,63,487,0.6,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.4
"NICKFOLES","QB","cbs","Nick Foles","STL",25,25,480,299,3373,22.7,19.2,37.8,148,1.2,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.2
"DEREKCARR","QB","cbs","Derek Carr","OAK",26,26,595,340,3417,22.8,16.5,31.2,109,0.3,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231
"SEATTLESEAHAWKS","DST","cbs","Seattle Seahawks","SEA",1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4621,41,1,19,16,21,3,NA,NA,NA,227
"JAMAALCHARLES","RB","cbs","Jamaal Charles","KC",1,28,NA,NA,NA,NA,NA,219,1052,9.8,47.9,388,7.5,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.6
"EDDIELACY","RB","cbs","Eddie Lacy","GB",2,29,NA,NA,NA,NA,NA,297,1368,9,42.3,392,2.9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.4
"MARSHAWNLYNCH","RB","cbs","Marshawn Lynch","SEA",3,30,NA,NA,NA,NA,NA,257,1305,9.6,32.6,336,3.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.2
"MATTFORTE","RB","cbs","Matt Forte","CHI",4,31,NA,NA,NA,NA,NA,241,1008,7.7,92,729,3.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.6
"MARCUSMARIOTA","QB","cbs","Marcus Mariota","TEN",27,32,472,272,3433,19.6,17,31,133,0.8,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.2
"CJANDERSON","RB","cbs","C.J. Anderson","DEN",5,33,NA,NA,NA,NA,NA,247,1124,9.9,45.6,429,2.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210
"ANTONIOBROWN","WR","cbs","Antonio Brown","PIT",1,34,NA,NA,NA,NA,NA,NA,NA,NA,122,1597,10.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.6
"DEMARYIUSTHOMAS","WR","cbs","Demaryius Thomas","DEN",2,35,NA,NA,NA,NA,NA,NA,NA,NA,103,1492,10.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.4
"ROBERTGRIFFIN","QB","cbs","Robert Griffin III","WAS",28,36,419,271,3395,15.2,17.7,61,306,0.8,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.6
"ODELLBECKHAM","WR","cbs","Odell Beckham","NYG",3,37,NA,NA,NA,NA,NA,NA,NA,NA,102,1366,12.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2
"STLOUISRAMS","DST","cbs","St. Louis Rams","STL",2,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5722,48,1,15,17,24,4,NA,NA,NA,202
"ADRIANPETERSON","RB","cbs","Adrian Peterson","MIN",6,39,NA,NA,NA,NA,NA,297,1406,7.9,37.2,259,1.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.4
"LEVEONBELL","RB","cbs","Le'Veon Bell","PIT",7,40,NA,NA,NA,NA,NA,218,933,7.9,66,647,1.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8
"JOSHMCCOWN","QB","cbs","Josh McCown","CLE",29,41,420,236,3223,14.6,14.4,36.7,183,1.8,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.6
"DEZBRYANT","WR","cbs","Dez Bryant","DAL",4,42,NA,NA,NA,NA,NA,NA,NA,NA,84,1292,12.7,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.4
"HOUSTONTEXANS","DST","cbs","Houston Texans","HOU",3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5686,40,0,20,13,18,4,NA,NA,NA,194
"BRIANHOYER","QB","cbs","Brian Hoyer","HOU",30,44,472,273,3166,18.2,16.2,29.1,66,0.3,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.6
