"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","points"
"ANDREWLUCK","QB","espn","Andrew Luck","IND",1,1,622,383,4504,37,17,56,265,2,0,0,0,324.3
"AARONRODGERS","QB","espn","Aaron Rodgers","GB",2,2,541,349,4308,33,8,50,255,2,0,0,0,317
"DREWBREES","QB","espn","Drew Brees","NO",3,3,618,405,4911,32,13,26,42,1,0,0,0,301.9
"RUSSELLWILSON","QB","espn","Russell Wilson","SEA",4,4,456,279,3469,27,9,101,623,3,0,0,0,299.8
"PEYTONMANNING","QB","espn","Peyton Manning","DEN",5,5,609,395,4650,34,14,24,-6,1,0,0,0,298
"TOMBRADY","QB","espn","Tom Brady","NE",6,6,612,403,4416,32,11,35,43,2,0,0,0,293.9
"MATTRYAN","QB","espn","Matt Ryan","ATL",7,7,598,390,4612,28,12,28,88,1,0,0,0,281.6
"TONYROMO","QB","espn","Tony Romo","DAL",8,8,497,323,4111,33,11,27,71,1,0,0,0,279
"BENROETHLISBERGER","QB","espn","Ben Roethlisberger","PIT",9,9,589,382,4546,29,13,34,102,1,0,0,0,278.8
"RYANTANNEHILL","QB","espn","Ryan Tannehill","MIA",10,10,571,364,4265,26,13,52,257,2,0,0,0,276.7
"CAMNEWTON","QB","espn","Cam Newton","CAR",11,11,495,296,3525,22,14,104,560,4,0,0,0,272.6
"ELIMANNING","QB","espn","Eli Manning","NYG",12,12,628,389,4788,30,17,17,30,0,0,0,0,269.9
"PHILIPRIVERS","QB","espn","Philip Rivers","SD",13,13,563,356,4462,29,16,32,72,1,0,0,0,266.8
"MATTHEWSTAFFORD","QB","espn","Matthew Stafford","DET",14,14,616,384,4442,27,14,37,117,1,0,0,0,265.7
"COLINKAEPERNICK","QB","espn","Colin Kaepernick","SF",15,15,464,287,3543,16,9,97,604,3,0,0,0,256.2
"SAMBRADFORD","QB","espn","Sam Bradford","PHI",16,16,547,328,3817,28,12,41,117,2,0,0,0,254.7
"CARSONPALMER","QB","espn","Carson Palmer","ARZ",17,17,567,359,4251,26,16,23,38,1,0,0,0,248.5
"JAYCUTLER","QB","espn","Jay Cutler","CHI",18,18,560,349,4076,25,18,44,197,1,0,0,0,241.6
"TEDDYBRIDGEWATER","QB","espn","Teddy Bridgewater","MIN",19,19,504,308,3658,21,13,55,301,2,0,0,0,241.4
"ALEXSMITH","QB","espn","Alex Smith","KC",20,20,526,328,3523,21,9,54,278,2,0,0,0,238.3
"JOEFLACCO","QB","espn","Joe Flacco","BAL",21,21,537,341,3903,25,13,40,85,1,0,0,0,237.5
"MARCUSMARIOTA","QB","espn","Marcus Mariota","TEN",22,22,473,289,3280,18,14,80,483,3,0,0,0,234.3
"EDDIELACY","RB","espn","Eddie Lacy","GB",1,23,0,0,0,0,0,301,1332,10,45,318,2,232.7
"ANDYDALTON","QB","espn","Andy Dalton","CIN",23,24,540,336,3791,23,19,53,171,2,0,0,0,231.4
"JAMEISWINSTON","QB","espn","Jameis Winston","TB",24,25,556,328,4165,21,19,49,185,1,0,0,0,227.4
"ADRIANPETERSON","RB","espn","Adrian Peterson","MIN",2,26,0,0,0,0,0,264,1231,9,46,391,2,222.6
"DEREKCARR","QB","espn","Derek Carr","OAK",25,27,590,360,4135,19,14,33,109,1,0,0,0,220.3
"JAMAALCHARLES","RB","espn","Jamaal Charles","KC",3,28,0,0,0,0,0,243,1118,8,55,473,3,218.7
"CJANDERSON","RB","espn","C.J. Anderson","DEN",4,29,0,0,0,0,0,277,1202,9,47,403,1,218.6
"MARSHAWNLYNCH","RB","espn","Marshawn Lynch","SEA",5,30,0,0,0,0,0,281,1291,9,33,259,2,216.6
"BLAKEBORTLES","QB","espn","Blake Bortles","JAC",26,31,506,313,3536,18,15,59,350,1,0,0,0,215.2
"NICKFOLES","QB","espn","Nick Foles","STL",27,32,528,319,3669,19,12,35,159,1,0,0,0,212.2
"LEVEONBELL","RB","espn","Le'Veon Bell","PIT",6,33,0,0,0,0,0,254,1090,6,62,503,3,211.5
"ANTONIOBROWN","WR","espn","Antonio Brown","PIT",1,34,0,0,0,0,0,5,30,0,115,1513,9,209.1
"LESEANMCCOY","RB","espn","LeSean McCoy","BUF",7,35,0,0,0,0,0,304,1363,7,36,255,1,205.5
"DEMARCOMURRAY","RB","espn","DeMarco Murray","PHI",8,36,0,0,0,0,0,251,1157,11,26,200,1,203.6
"JEREMYHILL","RB","espn","Jeremy Hill","CIN",9,37,0,0,0,0,0,274,1259,10,22,169,1,201.6
"MATTFORTE","RB","espn","Matt Forte","CHI",10,38,0,0,0,0,0,240,1018,5,65,595,2,200.4
"DEMARYIUSTHOMAS","WR","espn","Demaryius Thomas","DEN",2,39,0,0,0,0,0,0,0,0,102,1302,11,196
"DEZBRYANT","WR","espn","Dez Bryant","DAL",3,40,0,0,0,0,0,0,0,0,90,1367,10,194
"LAMARMILLER","RB","espn","Lamar Miller","MIA",11,41,0,0,0,0,0,257,1155,7,40,311,1,192.5
"ODELLBECKHAM","WR","espn","Odell Beckham Jr.","NYG",4,42,0,0,0,0,0,8,55,0,103,1381,8,189
"CALVINJOHNSON","WR","espn","Calvin Johnson","DET",5,43,0,0,0,0,0,0,0,0,87,1283,10,188
"JULIOJONES","WR","espn","Julio Jones","ATL",6,44,0,0,0,0,0,2,13,0,105,1403,8,187.1
