"name","pos","sourceName","name_fox","team_fox","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","points"
"ANDREWLUCK","QB","fox","Andrew Luck","IND",1,1,588,387,4890,35,15,71,284,2,NA,NA,NA,NA,0,1,416.7
"PEYTONMANNING","QB","fox","Peyton Manning","DEN",2,2,601,393,4852,34,13,33,-2,0,NA,NA,NA,NA,1,0,370.2
"MATTRYAN","QB","fox","Matt Ryan","ATL",3,3,632,407,4860,34,18,42,77,0,NA,NA,NA,NA,1,0,369.7
"AARONRODGERS","QB","fox","Aaron Rodgers","GB",4,4,528,361,4214,30,11,50,195,2,NA,NA,NA,NA,0,0,356.5
"BENROETHLISBERGER","QB","fox","Ben Roethlisberger","PIT",5,5,608,382,4743,30,14,31,62,0,NA,NA,NA,NA,1,0,347.2
"RUSSELLWILSON","QB","fox","Russell Wilson","SEA",6,6,421,273,3499,22,11,112,656,5,NA,NA,NA,NA,0,1,342.7
"RYANTANNEHILL","QB","fox","Ryan Tannehill","MIA",7,7,572,364,4248,26,13,53,277,2,NA,NA,NA,NA,1,1,342.1
"JAYCUTLER","QB","fox","Jay Cutler","CHI",8,8,601,376,4533,28,18,37,130,1,NA,NA,NA,NA,1,1,331
"SAMBRADFORD","QB","fox","Sam Bradford","PHI",9,9,572,359,4303,29,14,46,50,0,NA,NA,NA,NA,0,1,324.5
"DREWBREES","QB","fox","Drew Brees","NO",10,10,603,395,4581,29,19,35,7,0,NA,NA,NA,NA,1,0,323.3
"CAMNEWTON","QB","fox","Cam Newton","CAR",11,11,478,295,3499,21,14,110,615,4,NA,NA,NA,NA,1,1,321.4
"ELIMANNING","QB","fox","Eli Manning","NYG",12,12,617,372,4589,29,17,25,-1,0,NA,NA,NA,NA,1,1,320.9
"PHILIPRIVERS","QB","fox","Philip Rivers","SD",13,13,610,391,4586,28,17,30,7,0,NA,NA,NA,NA,1,0,320.7
"COLINKAEPERNICK","QB","fox","Colin Kaepernick","SF",14,14,432,270,3308,20,12,105,630,5,NA,NA,NA,NA,0,1,319.6
"ROBERTGRIFFIN","QB","fox","Robert Griffin III","WAS",15,15,575,324,4132,24,17,60,324,2,NA,NA,NA,NA,1,1,317
"CARSONPALMER","QB","fox","Carson Palmer","ARI",16,16,618,380,4600,28,18,23,1,0,NA,NA,NA,NA,1,0,314.6
"MATTHEWSTAFFORD","QB","fox","Matthew Stafford","DET",17,17,585,347,4351,27,17,43,80,0,NA,NA,NA,NA,1,1,314.4
"TONYROMO","QB","fox","Tony Romo","DAL",18,18,593,372,4404,27,15,44,17,0,NA,NA,NA,NA,1,1,310.4
"ALEXSMITH","QB","fox","Alex Smith","KC",19,19,486,304,3683,24,13,77,322,2,NA,NA,NA,NA,0,1,309.3
"DEREKCARR","QB","fox","Derek Carr","OAK",20,20,674,392,4628,26,22,26,63,0,NA,NA,NA,NA,1,1,302.5
"JAMEISWINSTON","QB","fox","Jameis Winston","TB",21,21,614,349,4412,25,21,32,119,1,NA,NA,NA,NA,1,1,302.3
"BLAKEBORTLES","QB","fox","Blake Bortles","JAC",22,22,591,344,4132,23,21,44,240,2,NA,NA,NA,NA,1,1,297.5
"MARCUSMARIOTA","QB","fox","Marcus Mariota","TEN",23,23,512,295,3471,19,17,75,480,4,NA,NA,NA,NA,0,1,285.7
"JOEFLACCO","QB","fox","Joe Flacco","BAL",24,24,541,345,3913,25,14,40,47,0,NA,NA,NA,NA,0,0,284.3
"NICKFOLES","QB","fox","Nick Foles","STL",25,25,493,309,3612,22,14,73,233,1,NA,NA,NA,NA,0,1,276.7
"TEDDYBRIDGEWATER","QB","fox","Teddy Bridgewater","MIN",26,26,520,319,3682,22,17,57,239,1,NA,NA,NA,NA,0,1,274
"MATTCASSEL","QB","fox","Matt Cassel","BUF",27,27,536,321,3821,24,17,44,87,0,NA,NA,NA,NA,0,1,272.6
"LEVEONBELL","RB","fox","Le'Veon Bell","PIT",1,28,NA,NA,NA,NA,NA,253,1071,11,77,741,5,NA,1,4,268.2
"ANDYDALTON","QB","fox","Andy Dalton","CIN",28,29,480,291,3667,23,16,59,129,1,NA,NA,NA,NA,0,1,267.4
"JOSHMCCOWN","QB","fox","Josh McCown","CLE",29,30,543,310,3798,21,16,26,78,0,NA,NA,NA,NA,0,0,254.4
"BRIANHOYER","QB","fox","Brian Hoyer","HOU",30,31,529,306,3692,20,14,38,56,0,NA,NA,NA,NA,0,1,246.6
"JAMAALCHARLES","RB","fox","Jamaal Charles","KC",2,32,NA,NA,NA,NA,NA,266,1230,12,43,386,2,NA,1,4,241.3
"TOMBRADY","QB","fox","Tom Brady","NE",31,33,442,280,3354,21,10,31,15,0,NA,NA,NA,NA,0,0,240.4
"DEMARCOMURRAY","RB","fox","DeMarco Murray","PHI",3,34,NA,NA,NA,NA,NA,274,1206,13,48,343,2,NA,0,4,239.7
"EDDIELACY","RB","fox","Eddie Lacy","GB",4,35,NA,NA,NA,NA,NA,293,1260,12,39,289,2,NA,0,5,231.3
"MATTFORTE","RB","fox","Matt Forte","CHI",5,36,NA,NA,NA,NA,NA,256,1034,11,63,516,3,NA,1,4,229.9
"LESEANMCCOY","RB","fox","LeSean McCoy","BUF",6,37,NA,NA,NA,NA,NA,305,1304,11,36,253,1,NA,0,5,224.4
"ADRIANPETERSON","RB","fox","Adrian Peterson","MIN",7,38,NA,NA,NA,NA,NA,297,1305,11,42,273,1,NA,1,4,223.4
"MARSHAWNLYNCH","RB","fox","Marshawn Lynch","SEA",8,39,NA,NA,NA,NA,NA,312,1318,11,24,206,1,NA,0,5,220.9
"CJANDERSON","RB","fox","C.J. Anderson","DEN",9,40,NA,NA,NA,NA,NA,240,993,11,41,362,2,NA,0,4,207.2
"DEMARYIUSTHOMAS","WR","fox","Demaryius Thomas","DEN",1,41,NA,NA,NA,NA,NA,0,0,0,95,1507,9,NA,0,1,204.3
"ANTONIOBROWN","WR","fox","Antonio Brown","PIT",2,42,NA,NA,NA,NA,NA,0,0,0,104,1537,9,NA,0,1,203.8
"JUSTINFORSETT","RB","fox","Justin Forsett","BAL",10,43,NA,NA,NA,NA,NA,271,1184,11,35,206,1,NA,1,4,202.7
"ANDREELLINGTON","RB","fox","Andre Ellington","ARI",11,44,NA,NA,NA,NA,NA,233,928,9,53,478,3,NA,1,4,202.4
"CARLOSHYDE","RB","fox","Carlos Hyde","SF",12,45,NA,NA,NA,NA,NA,285,1147,10,33,239,1,NA,0,5,197.6
"JEREMYHILL","RB","fox","Jeremy Hill","CIN",13,46,NA,NA,NA,NA,NA,250,1126,11,21,158,1,NA,0,4,191.9
"FRANKGORE","RB","fox","Frank Gore","IND",14,47,NA,NA,NA,NA,NA,217,899,11,35,302,2,NA,0,4,191.1
"LAMARMILLER","RB","fox","Lamar Miller","MIA",15,48,NA,NA,NA,NA,NA,259,1052,10,35,232,1,NA,0,4,190.3
"ALFREDMORRIS","RB","fox","Alfred Morris","WAS",16,49,NA,NA,NA,NA,NA,276,1152,10,18,139,1,NA,0,4,188.7
"DEZBRYANT","WR","fox","Dez Bryant","DAL",3,50,NA,NA,NA,NA,NA,0,0,0,92,1413,8,NA,0,1,186.1
