"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"AARONRODGERS","QB","fp","Aaron Rodgers","GB",1,1,549.4,356.5,4412.8,35.3,8.7,49.2,245.4,2,NA,NA,NA,NA,NA,4.9,NA,NA,327.1
"ANDREWLUCK","QB","fp","Andrew Luck","IND",2,2,638.7,393.1,4708.9,34.9,15.8,55.6,258.5,2.3,NA,NA,NA,NA,NA,5.5,NA,NA,324.9
"RUSSELLWILSON","QB","fp","Russell Wilson","SEA",3,3,463.1,284.9,3557.8,24.5,10.6,103.7,644.4,4.1,NA,NA,NA,NA,NA,4.3,NA,NA,299.7
"PEYTONMANNING","QB","fp","Peyton Manning","DEN",4,4,599.9,396.1,4663.5,35.1,13.3,26.6,9.7,0.5,NA,NA,NA,NA,NA,3.5,NA,NA,297.4
"DREWBREES","QB","fp","Drew Brees","NO",5,5,620.6,414.9,4825.4,30.8,14.2,27.5,64.7,1.3,NA,NA,NA,NA,NA,4.1,NA,NA,293.8
"MATTRYAN","QB","fp","Matt Ryan","ATL",6,6,632.1,414.8,4742.7,28.5,15.1,27,98.1,0.8,NA,NA,NA,NA,NA,3.5,NA,NA,281
"CAMNEWTON","QB","fp","Cam Newton","CAR",7,7,500.3,299.6,3579.1,21.8,14.5,104.4,561.7,4.5,NA,NA,NA,NA,NA,5.8,NA,NA,273.1
"BENROETHLISBERGER","QB","fp","Ben Roethlisberger","PIT",8,8,598.9,389.5,4594.8,28.7,13.5,28.1,68.4,0.4,NA,NA,NA,NA,NA,5.3,NA,NA,270.2
"TONYROMO","QB","fp","Tony Romo","DAL",9,9,506.1,331.8,4067.9,31.9,11.3,27,67.8,0.6,NA,NA,NA,NA,NA,4.9,NA,NA,268.5
"MATTHEWSTAFFORD","QB","fp","Matthew Stafford","DET",10,10,627.1,381.5,4462.8,26.6,14.8,36.3,108.6,1.5,NA,NA,NA,NA,NA,5.3,NA,NA,264.6
"RYANTANNEHILL","QB","fp","Ryan Tannehill","MIA",11,11,588.3,374.3,4217.3,25.3,15.1,48.1,239.6,1.5,NA,NA,NA,NA,NA,5.8,NA,NA,261
"PHILIPRIVERS","QB","fp","Philip Rivers","SD",12,12,569.1,367.4,4369.5,28.3,16.1,33.9,72.5,0.5,NA,NA,NA,NA,NA,4.5,NA,NA,256.9
"ELIMANNING","QB","fp","Eli Manning","NYG",13,13,595.7,369.3,4402.2,27.7,16.5,23,66.2,0.7,NA,NA,NA,NA,NA,5.6,NA,NA,253.7
"COLINKAEPERNICK","QB","fp","Colin Kaepernick","SF",14,14,484,292.9,3518.3,18.1,11.6,96.6,581.4,2.5,NA,NA,NA,NA,NA,5.7,NA,NA,251.2
"JOEFLACCO","QB","fp","Joe Flacco","BAL",15,15,554.2,342.3,3932.4,25.6,14.3,40.5,114.9,1.5,NA,NA,NA,NA,NA,3.8,NA,NA,243.9
"JAYCUTLER","QB","fp","Jay Cutler","CHI",16,16,570.1,355.6,3986.9,25.1,17.2,41.3,194.5,1.4,NA,NA,NA,NA,NA,5.4,NA,NA,242.5
