"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"AARONDOBSON","WR","NE","average","Aaron Dobson",1,2015,150,383,2.43,55.3,0,0,0,0,0,0,0,0,0,2.6,2.2,101.94,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.514
"AARONDOBSON","WR","NE","averageRobust","Aaron Dobson",1,2015,194,498,2.43,55.3,0,0,0,0,0,0,0,0,0,2.6,2.2,40.7,0.265622059815959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66373235889576
"AARONDOBSON","WR","NE","averageWeighted","Aaron Dobson",1,2015,150,383,2.43,55.3,0,0,0,0,0,0,0,0,0,2.6,2.2,101.94,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.514
"AARONDOBSON","WR","NE","cbs","Aaron Dobson",1,2015,123,339,2.43,55.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2.2,47.7,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57
"AARONDOBSON","WR","NE","fox","Aaron Dobson",1,2015,148,327,2.43,55.3,NA,NA,NA,NA,NA,NA,0,0,0,2,2.2,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"AARONDOBSON","WR","NE","fp","Aaron Dobson",1,2015,185,488,2.43,55.3,NA,NA,NA,NA,NA,NA,0,0,0,3.4,2.2,40.7,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27
"AARONDOBSON","WR","NE","nfl","Aaron Dobson",1,2015,98,240,2.43,55.3,NA,NA,NA,NA,NA,NA,0,NA,NA,2.6,2.2,373,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3
"AARONDOBSON","WR","NE","yahoo","Aaron Dobson",1,2015,166,445,2.43,55.3,NA,NA,NA,0,0,0,0,0,0,1.4,2.2,18.3,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43
"AARONMURRAY","QB","KC","average","Aaron Murray",2,2015,85,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageRobust","Aaron Murray",2,2015,77,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageWeighted","Aaron Murray",2,2015,85,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","nfl","Aaron Murray",2,2015,78,429,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONMURRAY","QB","KC","yahoo","Aaron Murray",2,2015,71,490,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONPETTREY","K","FA","average","Aaron Pettrey",3,2015,1,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","averageRobust","Aaron Pettrey",3,2015,1,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","averageWeighted","Aaron Pettrey",3,2015,1,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","espn","Aaron Pettrey",3,2015,1,366,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONRIPKOWSKI","RB","GB","average","Aaron Ripkowski",4,2015,189,625,0.64,0.64,0,0,0,0,0,0,0.7,3.3,0,0.4,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
"AARONRIPKOWSKI","RB","GB","averageRobust","Aaron Ripkowski",4,2015,189,615,0.64,0.64,0,0,0,0,0,0,0.7,3.3,0,0.4,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
"AARONRIPKOWSKI","RB","GB","averageWeighted","Aaron Ripkowski",4,2015,189,625,0.64,0.64,0,0,0,0,0,0,0.7,3.3,0,0.4,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
"AARONRIPKOWSKI","RB","GB","cbs","Aaron Ripkowski",4,2015,138,454,0.64,0.64,NA,NA,NA,NA,NA,NA,0.7,3.3,0,0.4,NA,3.1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64
"AARONRIPKOWSKI","RB","GB","fp","Aaron Ripkowski",4,2015,183,579,0.64,0.64,NA,NA,NA,NA,NA,NA,0.7,3.3,0,0.4,NA,3.1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64
"AARONRODGERS","QB","GB","average","Aaron Rodgers",5,2015,2,2,298.06,351.44,531.1,348.125,182.975,4308.48333333333,33.1,9.1,48.96,241.05,2.06666666666667,0,0,0,0,0,0.633333333333333,3.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.861
"AARONRODGERS","QB","GB","averageRobust","Aaron Rodgers",5,2015,2,2,298.06,351.44,531.25,349.125,182.975,4302,33.45,9.35000056617154,49.7000277587891,246.5,1.99994406700134,0,0,0,0,0,0.9,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.529663269665
"AARONRODGERS","QB","GB","averageWeighted","Aaron Rodgers",5,2015,2,2,298.06,351.44,531.1,348.125,182.975,4308.48333333333,33.1,9.1,48.96,241.05,2.06666666666667,0,0,0,0,0,0.633333333333333,3.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.861
"AARONRODGERS","QB","GB","cbs","Aaron Rodgers",5,2015,4,4,298.06,351.44,511,331,180,4088,31.9,11.1,44.9,254,1.6,NA,0,NA,NA,0,0.633333333333333,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.586666666667
"AARONRODGERS","QB","GB","espn","Aaron Rodgers",5,2015,2,2,298.06,351.44,541,348,193,4324,34,8,50,255,2,0,0,0,0,0,0.633333333333333,3.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.276666666667
"AARONRODGERS","QB","GB","fox","Aaron Rodgers",5,2015,5,5,298.06,351.44,528,361,167,4214,30,11,50,195,2,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.06
"AARONRODGERS","QB","GB","fp","Aaron Rodgers",5,2015,2,2,298.06,351.44,544.4,352.5,191.9,4353.9,34.1,8.8,49.4,246.3,2,NA,0,NA,NA,0,0.633333333333333,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.252666666667
"AARONRODGERS","QB","GB","nfl","Aaron Rodgers",5,2015,1,1,298.06,351.44,531.1,348.125,182.975,4591,35,8,48.96,238,3,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.44
"AARONRODGERS","QB","GB","yahoo","Aaron Rodgers",5,2015,2,2,298.06,351.44,531.1,348.125,182.975,4280,33.6,7.7,50.5,258,1.8,0,0,0,0,0,0.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319
"ABOUTOURE","RB","IND","average","Abou Toure",6,2015,198,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUTOURE","RB","IND","averageRobust","Abou Toure",6,2015,198,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUTOURE","RB","IND","averageWeighted","Abou Toure",6,2015,198,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUTOURE","RB","IND","yahoo","Abou Toure",6,2015,148,491,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ADAMSCHILTZ","TE","KC","average","Adam Schiltz",7,2015,131,639,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMSCHILTZ","TE","KC","averageRobust","Adam Schiltz",7,2015,131,631,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMSCHILTZ","TE","KC","averageWeighted","Adam Schiltz",7,2015,131,639,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMSCHILTZ","TE","KC","nfl","Adam Schiltz",7,2015,127,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
