"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"AARONDOBSON","WR","NE","average","Aaron Dobson",1,2015,151,391,4.1,56.02,0,0,0,0,0,0,0,0,0,3.6,5.7,111.32,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.412
"AARONDOBSON","WR","NE","averageRobust","Aaron Dobson",1,2015,185,486,4.1,56.02,0,0,0,0,0,0,0,0,0,3.6,5.7,49.85,0.30005787037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50534722222222
"AARONDOBSON","WR","NE","averageWeighted","Aaron Dobson",1,2015,151,391,4.1,56.02,0,0,0,0,0,0,0,0,0,3.6,5.7,111.32,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.412
"AARONDOBSON","WR","NE","cbs","Aaron Dobson",1,2015,131,355,4.1,56.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,5.7,47,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
"AARONDOBSON","WR","NE","fox","Aaron Dobson",1,2015,143,323,4.1,56.02,NA,NA,NA,NA,NA,NA,0,0,0,3,5.7,35,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1
"AARONDOBSON","WR","NE","fp","Aaron Dobson",1,2015,177,473,4.1,56.02,NA,NA,NA,NA,NA,NA,0,0,0,4.2,5.7,52.7,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31
"AARONDOBSON","WR","NE","nfl","Aaron Dobson",1,2015,105,259,4.1,56.02,NA,NA,NA,NA,NA,NA,0,NA,NA,3.6,5.7,373,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.02
"AARONDOBSON","WR","NE","yahoo","Aaron Dobson",1,2015,142,388,4.1,56.02,NA,NA,NA,0,0,0,0,0,0,3.7,5.7,48.9,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43
"AARONMURRAY","QB","KC","average","Aaron Murray",2,2015,85,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageRobust","Aaron Murray",2,2015,78,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageWeighted","Aaron Murray",2,2015,85,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","fox","Aaron Murray",2,2015,35,335,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONMURRAY","QB","KC","nfl","Aaron Murray",2,2015,80,489,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONMURRAY","QB","KC","yahoo","Aaron Murray",2,2015,74,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONPETTREY","K","FA","average","Aaron Pettrey",3,2015,1,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","averageRobust","Aaron Pettrey",3,2015,1,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","averageWeighted","Aaron Pettrey",3,2015,1,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","espn","Aaron Pettrey",3,2015,1,366,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONRIPKOWSKI","RB","GB","average","Aaron Ripkowski",4,2015,197,648,0.88,0.88,0,0,0,0,0,0,0.7,3.3,0,0.4,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88
