"name","pos","sourceName","name_nfl","team_nfl","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","points"
"AARONRODGERS","QB","nfl","Aaron Rodgers","GB",1,1,NA,NA,4601,38,8,NA,238,3,NA,NA,NA,NA,1,NA,363.84
"ANDREWLUCK","QB","nfl","Andrew Luck","IND",2,2,NA,NA,4796,36,14,NA,252,3,NA,NA,NA,NA,NA,NA,351.04
"RUSSELLWILSON","QB","nfl","Russell Wilson","SEA",3,3,NA,NA,3787,25,9,NA,697,5,NA,NA,NA,NA,1,NA,335.18
"DREWBREES","QB","nfl","Drew Brees","NO",4,4,NA,NA,4680,34,15,NA,40,1,NA,NA,NA,NA,NA,NA,303.2
"CAMNEWTON","QB","nfl","Cam Newton","CAR",5,5,NA,NA,3640,22,12,NA,574,5,NA,NA,NA,NA,2,NA,301
"PEYTONMANNING","QB","nfl","Peyton Manning","DEN",6,6,NA,NA,4783,35,18,NA,12,NA,NA,NA,NA,NA,1,NA,296.12
"TONYROMO","QB","nfl","Tony Romo","DAL",7,7,NA,NA,4275,31,11,NA,54,1,NA,NA,NA,NA,1,NA,286.4
"RYANTANNEHILL","QB","nfl","Ryan Tannehill","MIA",8,8,NA,NA,3895,28,13,NA,279,2,NA,NA,NA,NA,1,NA,283.7
"BENROETHLISBERGER","QB","nfl","Ben Roethlisberger","PIT",9,9,NA,NA,4582,29,13,NA,33,1,NA,NA,NA,NA,NA,NA,282.58
"TOMBRADY","QB","nfl","Tom Brady","NE",10,10,NA,NA,4153,29,9,NA,35,2,NA,NA,NA,NA,1,NA,281.62
"MATTRYAN","QB","nfl","Matt Ryan","ATL",11,11,NA,NA,4573,28,14,NA,103,NA,NA,NA,NA,NA,2,NA,281.22
"PHILIPRIVERS","QB","nfl","Philip Rivers","SD",12,12,NA,NA,4366,31,13,NA,23,NA,NA,NA,NA,NA,1,NA,276.94
"COLINKAEPERNICK","QB","nfl","Colin Kaepernick","SF",13,13,NA,NA,3293,22,15,NA,571,4,NA,NA,NA,NA,1,NA,272.82
"TEDDYBRIDGEWATER","QB","nfl","Teddy Bridgewater","MIN",14,14,NA,NA,3781,26,13,NA,291,2,NA,NA,NA,NA,1,NA,272.34
"ELIMANNING","QB","nfl","Eli Manning","NYG",15,15,NA,NA,4327,30,13,NA,22,NA,NA,NA,NA,NA,1,NA,271.28
"MATTHEWSTAFFORD","QB","nfl","Matthew Stafford","DET",16,16,NA,NA,4258,26,14,NA,84,1,NA,NA,NA,NA,NA,NA,260.72
"SAMBRADFORD","QB","nfl","Sam Bradford","PHI",17,17,NA,NA,3725,28,14,NA,49,3,NA,NA,NA,NA,NA,NA,255.9
"MARCUSMARIOTA","QB","nfl","Marcus Mariota","TEN",18,18,NA,NA,3275,25,18,NA,390,3,NA,NA,NA,NA,1,NA,254
"CARSONPALMER","QB","nfl","Carson Palmer","ARI",19,19,NA,NA,4183,27,16,NA,45,1,NA,NA,NA,NA,NA,NA,253.82
"LEVEONBELL","RB","nfl","Le'Veon Bell","PIT",1,20,NA,NA,NA,NA,NA,NA,1165,10,NA,600,3,NA,NA,1,252.5
