"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"ANDREWLUCK","QB","yahoo","Andrew Luck","IND",1,1,4459,37,16.3,56.9,268,2.1,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.6
"AARONRODGERS","QB","yahoo","Aaron Rodgers","GB",2,2,4266,32.3,7.7,50.5,258,2,0,0,0,0,0,0.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.04
"DREWBREES","QB","yahoo","Drew Brees","NO",3,3,4960,32.6,13.4,26.1,42.2,1,0,0,0,0,0,0.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.35
"RUSSELLWILSON","QB","yahoo","Russell Wilson","SEA",4,4,3434,26.8,9.2,102,629,3.2,0,0,0,0,0,0.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.16
"TOMBRADY","QB","yahoo","Tom Brady","NE",5,5,4454,32.1,10.9,34.9,42.3,1.9,0,0,0,0,0,0.9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.18
"PEYTONMANNING","QB","yahoo","Peyton Manning","DEN",6,6,4558,33.8,13.3,23.9,-5.8,0.7,0,0,0,0,0,0.9,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.65
"RYANTANNEHILL","QB","yahoo","Ryan Tannehill","MIA",7,7,4352,26.5,13.7,52.2,257,1.7,0,0,0,0,0,0.8,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.06
"MATTRYAN","QB","yahoo","Matt Ryan","ATL",8,8,4567,27.5,12.4,28.7,89.3,0.9,0,0,0,0,0,0.8,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.1
"TONYROMO","QB","yahoo","Tony Romo","DAL",9,9,4153,32.9,10.7,26.9,70.7,0.7,0,0,0,0,0,0.9,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.14
"BENROETHLISBERGER","QB","yahoo","Ben Roethlisberger","PIT",10,10,4510,28.7,12.9,33.8,101,0.6,0,0,0,0,0,0.8,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.42
"ELIMANNING","QB","yahoo","Eli Manning","NYG",11,11,4694,29.7,16.9,16.6,29.7,0.4,0,0,0,0,0,0.8,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.17
"CAMNEWTON","QB","yahoo","Cam Newton","CAR",12,12,3491,21.9,13.7,103,554,4.2,0,0,0,0,0,0.7,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.38
"PHILIPRIVERS","QB","yahoo","Philip Rivers","SD",13,13,4507,29.2,15.8,31.5,70.6,0.6,0,0,0,0,0,0.8,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.53
"COLINKAEPERNICK","QB","yahoo","Colin Kaepernick","SF",14,14,3769,16.5,9.1,103,636,2.7,0,0,0,0,0,0.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.84
"MATTHEWSTAFFORD","QB","yahoo","Matthew Stafford","DET",15,15,4280,26,13.8,37.6,119,1.4,0,0,0,0,0,0.7,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.12
