"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,355.780074202162,343.64,359.76,363.48,375,361.5,363.368,347.92,368.98,342.1,348.2,345.52,370.2,305.7,349.98,NA,358.39,638.645002396917,426.984071258262,205.810299976077,5112,44.0000203916941,12.0000169679695,23.9999283127276,-1.99992878479951,0.999987677132659,0,0,0,0,1,4.24995330649557,351.277625,355.780074202162
"DREWBREES","Drew Brees","QB","NO",2,331.591044082896,333.92,336.6,338.02,333.6,340.08,335.99,327.92,337.42,321.92,315.5,315.8,341.5,320.58,340.22,NA,331.42,636,421.499987048046,212.601630341261,4988.53070976176,38.1300403129407,14.000004203669,24,44.4951987701179,1.00001778405527,0,0,0,0,1,2.45998186667119,331.576708333333,331.591044082896
"AARONRODGERS","Aaron Rodgers","QB","GB",3,330.838508673751,306.04,345.46,349.26,351.62,343.42,345.58,308.74,339.2,326.84,331.8,319.96,346.9,305,340.08,NA,316.64,549.025,361.8,184.500033733592,4490.75,35.4999451108401,9.99999430778448,48.5000099386076,222.811853413605,1.97125525076647,0,0,0,0,0.8,3.25,331.22875,330.838508673751
"ANDREWLUCK","Andrew Luck","QB","IND",4,304.827491282574,365.3,314.58,304.32,289.34,300.46,302.358,308,306.1,308.96,311.8,308.5,310,296.88,317,NA,288.98,595.500081013536,365.607928693539,229.594856914699,4324.87494275679,27.5000151213562,11.9999398131137,61.0000461575133,319.675,3.00004523446496,0,0,0,0,1,3.0677293468423,307.336875,304.827491282574
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",5,293.477807341467,224.08,323.82,323.28,291.24,308.3,305.79,298.96,277.06,291.88,292.8,293.48,290.4,284.34,299.58,NA,291.8,639.199996398589,387.15,253.999969963407,4732.25,31.4999614388658,17.1300520070585,31.7500485522183,84.481097307115,1.49999789903008,0,0,0,0,1,3.50001576238563,291.147041666667,293.477807341467
"NICKFOLES","Nick Foles","QB","PHI",6,292.049554858268,276.44,285.3,319.9,286.06,306.64,298.432,303.3,310.3,298.14,291.8,292.46,294,281.32,304.98,NA,297.92,524.37,333.060847378394,186.281272629141,4121.25,28.9999533496761,11.5,63.0000056272531,250.000001520958,2.49994943892894,0,0,0,0,0.8,3.69997766305303,292.933166666667,292.049554858268
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",7,289.660083575095,309.2,298.32,262.16,293.86,304.2,281.492,274.96,282.88,288.52,301.3,280.68,295,306.2,295.84,NA,282.02,495.25,306.5,190,3758,23.0324490544669,12.2845344860693,94.4999141977308,563,3.49994258726794,0,0,0,0,1.15,3.91014959712054,288.25675,289.660083575095
"CAMNEWTON","Cam Newton","QB","CAR",8,288.92810583575,269.02,280.94,284.1,282.06,296.62,280.764,300.36,283.2,301.62,287.4,290.56,301.9,295.82,309.44,NA,273.16,482.121774456058,291.661845310701,188.726310796888,3471.75,22.3999573251865,13.5000390539825,107.000018408195,585.7,5.4999893691674,0,0,0,0,0.6,2.65579078601767,287.807916666667,288.92810583575
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,286.699907241335,315.8,309.14,301.1,272.52,304.24,293.02,300.4,285.22,294.88,293.4,279.98,288.9,274.36,299.22,NA,271.36,468.999955124644,278.499989630564,186.050014907135,3563.5,23.9999637834194,10.4999709014568,88.3000471065701,499.6,4.00001114991187,0,0,0,0,0.6,3.00003649445027,289.517916666667,286.699907241335
"MATTRYAN","Matt Ryan","QB","ATL",10,282.551547395472,254.86,304.98,300.04,267.68,292.48,289.922,264.76,282.4,281.32,270.4,274.54,270.5,293.62,287.48,NA,289.39,633.047286344224,416.025361206991,216.25,4629.825,29.4999920109865,14.6499865100522,23.5000166088491,72.5902078007088,0.999914968849668,0,0,0,0,0.7,2.99997911076911,280.626833333333,282.551547395472
