"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"AARONDOBSON","WR","NE","average","Aaron Dobson",1,2015,146,375,4.1,55.9666666666667,0,0,0,0,0,0,0,0,0,3.33333333333333,0,123.55,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4216666666667
"AARONDOBSON","WR","NE","averageRobust","Aaron Dobson",1,2015,191,493,4.1,55.9666666666667,0,0,0,0,0,0,0,0,0,3.275,0,44.25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88
"AARONDOBSON","WR","NE","averageWeighted","Aaron Dobson",1,2015,146,375,4.1,55.9666666666667,0,0,0,0,0,0,0,0,0,3.33333333333333,0,123.55,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4216666666667
"AARONDOBSON","WR","NE","cbs","Aaron Dobson",1,2015,128,354,4.1,55.9666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,40.8,0.3,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
"AARONDOBSON","WR","NE","fox","Aaron Dobson",1,2015,142,322,4.1,55.9666666666667,NA,NA,NA,NA,NA,NA,0,0,0,3,NA,35,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1
"AARONDOBSON","WR","NE","fp","Aaron Dobson",1,2015,180,476,4.1,55.9666666666667,NA,NA,NA,NA,NA,NA,0,0,0,3.9,NA,45.4,0.3,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12
"AARONDOBSON","WR","NE","nfl","Aaron Dobson",1,2015,106,259,4.1,55.9666666666667,NA,NA,NA,NA,NA,NA,0,NA,NA,3.33333333333333,NA,373,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9666666666667
"AARONMURRAY","QB","KC","average","Aaron Murray",2,2015,85,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageRobust","Aaron Murray",2,2015,78,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageWeighted","Aaron Murray",2,2015,85,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","fox","Aaron Murray",2,2015,35,335,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONMURRAY","QB","KC","nfl","Aaron Murray",2,2015,80,485,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONMURRAY","QB","KC","yahoo","Aaron Murray",2,2015,74,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONPETTREY","K","FA","average","Aaron Pettrey",3,2015,1,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","averageRobust","Aaron Pettrey",3,2015,1,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","averageWeighted","Aaron Pettrey",3,2015,1,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","espn","Aaron Pettrey",3,2015,1,367,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AARONRIPKOWSKI","RB","GB","average","Aaron Ripkowski",4,2015,190,628,0.86,0.86,0,0,0,0,0,0,0.7,3.2,0,0.4,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86
"AARONRIPKOWSKI","RB","GB","averageRobust","Aaron Ripkowski",4,2015,190,618,0.86,0.86,0,0,0,0,0,0,0.7,3.2,0,0.4,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86
"AARONRIPKOWSKI","RB","GB","averageWeighted","Aaron Ripkowski",4,2015,190,628,0.86,0.86,0,0,0,0,0,0,0.7,3.2,0,0.4,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86
"AARONRIPKOWSKI","RB","GB","cbs","Aaron Ripkowski",4,2015,138,457,0.86,0.86,NA,NA,NA,NA,NA,NA,0.7,3.2,0,0.4,NA,3.2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"AARONRIPKOWSKI","RB","GB","fp","Aaron Ripkowski",4,2015,184,581,0.86,0.86,NA,NA,NA,NA,NA,NA,0.7,3.2,0,0.4,NA,3.2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"AARONRODGERS","QB","GB","average","Aaron Rodgers",5,2015,2,2,395.766666666667,476.573,534.4,350.45,183.95,4352.38333333333,34.1,9.01666666666667,48.44,238.783333333333,2.06666666666667,0,0,0,0,0,0.633333333333333,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.423333333333
"AARONRODGERS","QB","GB","averageRobust","Aaron Rodgers",5,2015,2,2,395.766666666667,476.573,534.4,350.45,186.95,4344.5,33.8,8.89998699196551,49.1,245.35,1.99994406700134,0,0,0,0,0,0.9,3.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.054703426112
"AARONRODGERS","QB","GB","averageWeighted","Aaron Rodgers",5,2015,2,2,395.766666666667,476.573,534.4,350.45,183.95,4352.38333333333,34.1,9.01666666666667,48.44,238.783333333333,2.06666666666667,0,0,0,0,0,0.633333333333333,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.423333333333
"AARONRODGERS","QB","GB","cbs","Aaron Rodgers",5,2015,4,4,395.766666666667,476.573,524,339,185,4177,32.5,11.5,43.6,246,1.6,NA,0,NA,NA,0,0.633333333333333,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.766666666667
"AARONRODGERS","QB","GB","espn","Aaron Rodgers",5,2015,2,2,395.766666666667,476.573,540,347,193,4320,34,8,50,255,2,0,0,0,0,0,0.633333333333333,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.766666666667
"AARONRODGERS","QB","GB","fox","Aaron Rodgers",5,2015,2,2,395.766666666667,476.573,527,362,165,4369,32,10,49,191,2,NA,0,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.86
"AARONRODGERS","QB","GB","fp","Aaron Rodgers",5,2015,2,2,395.766666666667,476.573,546.6,353.8,192.8,4370.3,34.5,8.9,49.1,244.7,2,NA,0,NA,NA,0,0.633333333333333,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.348666666667
"AARONRODGERS","QB","GB","nfl","Aaron Rodgers",5,2015,1,1,395.766666666667,476.573,534.4,350.45,183.95,4601,38,8,48.44,238,3,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.573
"AARONRODGERS","QB","GB","yahoo","Aaron Rodgers",5,2015,2,2,395.766666666667,476.573,534.4,350.45,183.95,4277,33.6,7.7,50.5,258,1.8,0,0,0,0,0,0.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.725
"ABOUTOURE","RB","IND","average","Abou Toure",6,2015,199,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUTOURE","RB","IND","averageRobust","Abou Toure",6,2015,199,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUTOURE","RB","IND","averageWeighted","Abou Toure",6,2015,199,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUTOURE","RB","IND","yahoo","Abou Toure",6,2015,148,490,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ADAMSCHILTZ","TE","KC","average","Adam Schiltz",7,2015,133,645,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMSCHILTZ","TE","KC","averageRobust","Adam Schiltz",7,2015,133,638,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMSCHILTZ","TE","KC","averageWeighted","Adam Schiltz",7,2015,133,645,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMSCHILTZ","TE","KC","nfl","Adam Schiltz",7,2015,124,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTHIELEN","WR","MIN","average","Adam Thielen",8,2015,200,524,5.59,6.51,0,0,0,0,0,0,0,0,0,2.55,0,40.4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05
"ADAMTHIELEN","WR","MIN","averageRobust","Adam Thielen",8,2015,196,511,5.59,6.51,0,0,0,0,0,0,0,0,0,2.55,0,40.4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05
"ADAMTHIELEN","WR","MIN","averageWeighted","Adam Thielen",8,2015,200,524,5.59,6.51,0,0,0,0,0,0,0,0,0,2.55,0,40.4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05
"ADAMTHIELEN","WR","MIN","cbs","Adam Thielen",8,2015,130,364,5.59,6.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,34.7,0.3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59
