"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"AARONDOBSON","WR","NE","average","Aaron Dobson",1,2015,154,396,7.4,58.65,0,0,0,0,0,0,0,0,0,3.35,5.1,110.26,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.936
"AARONDOBSON","WR","NE","averageRobust","Aaron Dobson",1,2015,186,468,7.4,58.65,0,0,0,0,0,0,0,0,0,3.39998014174078,5.1,45.2,0.30005787037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.720327363963
"AARONDOBSON","WR","NE","averageWeighted","Aaron Dobson",1,2015,154,396,7.4,58.65,0,0,0,0,0,0,0,0,0,3.35,5.1,110.26,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.936
"AARONDOBSON","WR","NE","cbs","Aaron Dobson",1,2015,128,343,7.4,58.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,5.1,45.2,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.72
"AARONDOBSON","WR","NE","espn","Aaron Dobson",1,2015,117,323,7.4,58.65,0,0,0,0,0,0,0,0,0,3,5.1,44,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4
"AARONDOBSON","WR","NE","fp","Aaron Dobson",1,2015,178,456,7.4,58.65,NA,NA,NA,NA,NA,NA,0,0,0,3.6,5.1,45.6,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.36
"AARONDOBSON","WR","NE","nfl","Aaron Dobson",1,2015,112,270,7.4,58.65,0,0,0,NA,NA,NA,0,NA,NA,3.35,5.1,373,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.65
"AARONDOBSON","WR","NE","yahoo","Aaron Dobson",1,2015,150,388,7.4,58.65,0,0,0,0,0,0,0,0,0,3.4,5.1,43.5,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.55
"AARONMURRAY","QB","KC","average","Aaron Murray",2,2015,85,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageRobust","Aaron Murray",2,2015,78,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
