"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,474.692015772626,410.44,439.56,434.28,465.4,437.5,442.708,426.12,455.38,418.9,428.2,418.12,453.2,342.76,423.98,NA,417.82,636.499970073758,426.25,205.810299976077,23.9999283127276,467.667833333333,474.692015772626,16.0012946116165,28.2071417447696,8.0565,5.39912831931725
"DREWBREES","Drew Brees","QB","NO",2,438.703245322797,393.98,403.8,410.42,402,404.08,404.51,391.92,408.22,386.32,374.1,374,410.5,384.8,404.22,NA,387.08,638.4,421.601508134058,213.85,24,439.471291666667,438.703245322797,21.8053733879836,12.4001011900633,5.8739,3.69091782520772
"AARONRODGERS","Aaron Rodgers","QB","GB",3,433.825315640381,356.36,424.46,421.26,432.02,407.42,420.2,371.54,412.4,392.24,403.2,374.56,420.9,354,400.08,NA,364.68,549.025,361.8,184.500033733592,48.5000099386076,434.377416666667,433.825315640381,21.6218584424673,26.4463343035521,5.8239,4.98764635010839
"ANDREWLUCK","Andrew Luck","QB","IND",4,390.231346707124,405.71,370.78,341.36,337.94,341.46,346.53,355.8,344.5,364.36,367.8,362.7,368,310.2,362,NA,324.38,594.229526387796,364.000025989072,230.335878359595,61.0000461575133,390.924875,390.231346707124,53.3447565730281,22.5296199321186,8.2652,4.89594456789412
"NICKFOLES","Nick Foles","QB","PHI",5,380.26461361782,312.94,338.7,370.3,341.06,354.64,355.484,366.1,373.7,354.74,349.4,348.26,351,324.02,346.94,NA,341.34,523.989,332.684936659738,186.281272629141,63.0000056272531,380.465875,380.26461361782,72.4921373587924,16.0831847213465,13.1304,4.83920063811139
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",6,379.765771631596,243.16,384.82,383.68,344.04,359.3,359.89,345.36,317.66,343.68,342.8,340.48,340.4,312.04,345.58,NA,330.02,639.199996398589,387.15,253.999969963407,31.7500485522183,376.812041666667,379.765771631596,46.3466809957013,33.3144212588111,7.3652,5.79578492539732
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",7,373.576942166517,340.94,371.32,336.4,345.06,340.2,346.864,322.96,330.68,337.52,355.3,331.08,345,305.24,344.2,NA,315.88,509.425,312.55,195.402258213207,94.9999592320373,371.388416666667,373.576942166517,76.3396231130661,15.8828306077439,10.5652,4.53541526577317
"CAMNEWTON","Cam Newton","QB","CAR",8,370.832379416909,292.55,346.94,334.1,344.9,325.62,343.972,350.76,360.6,358.02,339.4,345.76,359.9,309.06,346.14,NA,294.74,484.260646156682,293.999988706556,189.000060532256,111.000000580112,371.051541666667,370.832379416909,77.7714035789263,21.9874091477048,14.1478,5.49972590739268
"MATTRYAN","Matt Ryan","QB","ATL",9,369.340377490608,285.11,361.98,335.84,314.48,338.48,336.702,306.96,326.8,333.72,312.4,317.94,315.5,356.48,334.48,NA,329.22,633.047286344224,416.210143734332,216.25,23.5000166088491,368.291416666667,369.340377490608,66.5976057182845,19.3526502548285,11.7978,4.99416305188853
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",10,368.534257866954,330.49,369.74,398.54,325.72,344.24,366.352,358.4,338.62,348.88,349.8,333.18,344.9,291.12,339.54,NA,299.74,469.00006330452,278.999960862171,184.141862031941,88.5000103163709,372.44025,368.534257866954,89.7049185244427,26.473181885142,12.8565,5.77204939099347
