"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"EDDIELACY","RB","GB","average","Eddie Lacy",357,2015,1,1,282.5,309.82,91.2717620373268,NA,NA,NA,NA,1.46441547629702,0,0,0,0,0,0,290.12,1297.25,9.71666666666667,42.98,55.4,345.033333333333,2.46666666666667,0,0.15,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.228333333333
"ANTONIOBROWN","WR","PIT","averageRobust","Antonio Brown",60,2015,1,1,232,256.275,88.6119423460424,NA,NA,NA,NA,6.98399373097762,0,0,0,0,0,0,4,24.5863072057344,0,115,171,1539,9.44997095897153,1.1,0.1,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.208456474403
"EDDIELACY","RB","GB","averageWeighted","Eddie Lacy",357,2015,1,1,282.5,309.82,91.2717620373268,NA,NA,NA,NA,1.46441547629704,0,0,0,0,0,0,290.12,1297.25,9.71666666666667,42.98,55.4,345.033333333333,2.46666666666667,0,0.15,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.228333333333
"EDDIELACY","RB","GB","cbs","Eddie Lacy",357,2015,1,1,282.5,309.82,97.2834287039935,NA,NA,NA,NA,1.2225852032722,NA,NA,NA,NA,NA,NA,288,1327,8.9,43.2,55.4,401,3,0,0.15,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.24
"EDDIELACY","RB","GB","espn","Eddie Lacy",357,2015,1,1,282.5,309.82,93.6234287039935,NA,NA,NA,NA,4.56263913416665,0,0,0,0,0,0,301,1331,9,45,55.4,320,3,0,0.15,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.58
"LEVEONBELL","RB","PIT","fox","Le'Veon Bell",653,2015,1,1,267.8,336.2,130.243428703994,NA,NA,NA,NA,5.6185888429401,NA,NA,NA,NA,NA,NA,254,1068,11,77,79.3,742,5,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.2
"ANTONIOBROWN","WR","PIT","fp","Antonio Brown",60,2015,1,1,232,256.275,89.9634858716398,NA,NA,NA,NA,6.53900541390057,NA,NA,NA,NA,NA,NA,4.3,23.2,0,116.5,171,1533.8,9.8,1.1,0.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.56
"AARONRODGERS","QB","GB","nfl","Aaron Rodgers",5,2015,1,1,395.766666666667,476.573,121.866787747137,NA,NA,NA,NA,1.65872808308118,534.4,350.45,183.95,4601,38,8,48.44,238,3,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.573
"ADRIANPETERSON","RB","MIN","yahoo","Adrian Peterson",11,2015,1,1,282.473333333333,309.34,94.7434287039935,NA,NA,NA,NA,4.97020003120703,0,0,0,0,0,0,283,1324,9.2,50,63.2,423,2,0,0.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.7
"ANTONIOBROWN","WR","PIT","average","Antonio Brown",60,2015,1,2,232,256.275,89.5651525383065,NA,NA,NA,NA,7.63794294576637,0,0,0,0,0,0,3.075,19.7,0.22,114.3,171,1543.46666666667,9.45,1.1,0.1,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.161666666667
"EDDIELACY","RB","GB","averageRobust","Eddie Lacy",357,2015,1,2,282.5,309.82,87.7430304642036,NA,NA,NA,NA,0.134743492544517,0,0,0,0,0,0,289.5,1297.5,9.2,43.2,55.4,344.1,2.49993362670168,0,0.15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.69960176021
"ANTONIOBROWN","WR","PIT","averageWeighted","Antonio Brown",60,2015,1,2,232,256.275,89.5651525383065,NA,NA,NA,NA,7.63794294576636,0,0,0,0,0,0,3.075,19.7,0.22,114.3,171,1543.46666666667,9.45,1.1,0.1,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.161666666667
"ANTONIOBROWN","WR","PIT","cbs","Antonio Brown",60,2015,1,2,232,256.275,93.0034858716398,NA,NA,NA,NA,3.01455944978217,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,171,1600,9.8,1.1,0.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.6
"ANTONIOBROWN","WR","PIT","espn","Antonio Brown",60,2015,1,2,232,256.275,81.8534858716398,NA,NA,NA,NA,6.25096529808043,0,0,0,0,0,0,4,27,0,114,171,1498,9,1.1,0.1,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.45
"DEMARCOMURRAY","RB","PHI","fox","DeMarco Murray",294,2015,2,2,227.92,304.8,98.8434287039935,NA,NA,NA,NA,0.796676837010632,NA,NA,NA,NA,NA,NA,274,1225,14,48,31.2,339,2,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.8
"EDDIELACY","RB","GB","fp","Eddie Lacy",357,2015,1,2,282.5,309.82,85.0734287039935,NA,NA,NA,NA,0.412750403226542,NA,NA,NA,NA,NA,NA,282.6,1264.5,9.2,45.7,55.4,368.2,2.4,0,0.15,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.03
"LEVEONBELL","RB","PIT","nfl","Le'Veon Bell",653,2015,1,2,267.8,336.2,107.755428703993,NA,NA,NA,NA,0.197915093433508,0,0,0,NA,NA,NA,244.18,1165,10,66.88,79.3,600,3,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313.712
"ANTONIOBROWN","WR","PIT","yahoo","Antonio Brown",60,2015,1,2,232,256.275,86.8334858716398,NA,NA,NA,NA,7.72659213920574,0,0,0,0,0,0,4,26.3,0.1,115,171,1513,9.1,1.1,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.43
"ADRIANPETERSON","RB","MIN","average","Adrian Peterson",11,2015,2,3,282.473333333333,309.34,85.4700953706601,NA,NA,NA,NA,0.554217932313871,0,0,0,0,0,0,284.74,1322.03333333333,9.96666666666667,43.96,63.2,316.3,1.61666666666667,0,0.766666666666667,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.426666666667
"ADRIANPETERSON","RB","MIN","averageRobust","Adrian Peterson",11,2015,2,3,282.473333333333,309.34,85.8536776683094,NA,NA,NA,NA,0.848150443004404,0,0,0,0,0,0,283.7,1324,9.8,43.6,63.2,319.5,1.60004149405266,0,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.810248964316
"ADRIANPETERSON","RB","MIN","averageWeighted","Adrian Peterson",11,2015,2,3,282.473333333333,309.34,85.4700953706601,NA,NA,NA,NA,0.554217932313889,0,0,0,0,0,0,284.74,1322.03333333333,9.96666666666667,43.96,63.2,316.3,1.61666666666667,0,0.766666666666667,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.426666666667
"MATTFORTE","RB","CHI","cbs","Matt Forte",706,2015,2,3,259.06,298.3,92.3434287039935,NA,NA,NA,NA,1.36134998857515,NA,NA,NA,NA,NA,NA,241,1010,7.4,92,77.7,728,3.3,0,0.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.3
"ADRIANPETERSON","RB","MIN","espn","Adrian Peterson",11,2015,2,3,282.473333333333,309.34,77.0967620373268,NA,NA,NA,NA,0.732443146256367,0,0,0,0,0,0,264,1231,9,47,63.2,394,2,0,0.766666666666667,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.053333333333
"ANDREWLUCK","QB","IND","fox","Andrew Luck",46,2015,1,3,426.94,459.9045,94.9537877471373,NA,NA,NA,NA,1.20123378980154,592,389,203,4924,35,16,71,286,2,NA,0,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.66
