"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"ROBGRONKOWSKI","TE","NE","average","Rob Gronkowski",837,2015,1,1,225.8,263.3,111.801336462275,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,12.1248426769162,0,0,0,0,0,0,0,0,0,86.54,141,1106.86666666667,9.55,0,0.15,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.926666666667
"ROBGRONKOWSKI","TE","NE","averageRobust","Rob Gronkowski",837,2015,1,1,225.8,263.3,114.834824036458,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,12.6752576029688,0,0,0,0,0,0,0,0,0,86.2,141,1110.6,10.0000376239515,0,0.15,0.300035751429578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.96015424085
"ROBGRONKOWSKI","TE","NE","averageWeighted","Rob Gronkowski",837,2015,1,1,225.8,263.3,111.801336462275,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,12.1248426769162,0,0,0,0,0,0,0,0,0,86.54,141,1106.86666666667,9.55,0,0.15,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.926666666667
"ROBGRONKOWSKI","TE","NE","cbs","Rob Gronkowski",837,2015,1,1,225.8,263.3,121.174669795609,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,7.82100240351736,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,141,1160,10.9,0,0.15,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.3
"ROBGRONKOWSKI","TE","NE","espn","Rob Gronkowski",837,2015,1,1,225.8,263.3,114.174669795609,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,8.65514579618652,0,0,0,0,0,0,0,0,0,88,141,1089,10,0,0.15,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.3
"LEVEONBELL","RB","PIT","fox","Le'Veon Bell",640,2015,1,1,268.9,349.9,119.444891561168,3.22072368421053,3.94763534251152,13.832658,2.7326,8.65475415073629,NA,NA,NA,NA,NA,NA,251,1068,11,77,79,741,5,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.9
"ROBGRONKOWSKI","TE","NE","fp","Rob Gronkowski",837,2015,1,1,225.8,263.3,114.394669795609,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,8.15969448087243,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,141,1101.2,10.4,0,0.15,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.52
"ROBGRONKOWSKI","TE","NE","nfl","Rob Gronkowski",837,2015,1,1,225.8,263.3,117.714669795609,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,7.90429680490994,0,0,0,NA,NA,NA,0,NA,NA,86.54,141,1133,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.84
"ROBGRONKOWSKI","TE","NE","yahoo","Rob Gronkowski",837,2015,1,1,225.8,263.3,120.274669795609,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,11.3205775547301,0,0,0,0,0,0,0,0,0,90.4,141,1120,10,0,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.4
"ANTONIOBROWN","WR","PIT","average","Antonio Brown",57,2015,1,2,311.2,347.1,78.3466980589988,4.96611842105263,3.52842098793308,9.97048499999999,1.8413,8.9636283469407,0,0,0,0,0,0,3.55,21.28,0.22,114.3,171,1547.31666666667,9.38333333333333,1.1,0.15,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.329666666667
"ANTONIOBROWN","WR","PIT","averageRobust","Antonio Brown",57,2015,1,2,311.2,347.1,79.6078652191736,4.96611842105263,3.52842098793308,9.97048499999999,1.8413,8.80586063702651,0,0,0,0,0,0,4.73215507455663,26.4119633915932,0,115.75,171,1546.49997618449,9.4999399782055,1.1,0.15,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.590833826842
"ANTONIOBROWN","WR","PIT","averageWeighted","Antonio Brown",57,2015,1,2,311.2,347.1,78.3466980589988,4.96611842105263,3.52842098793308,9.97048499999999,1.8413,8.96362834694069,0,0,0,0,0,0,3.55,21.28,0.22,114.3,171,1547.31666666667,9.38333333333333,1.1,0.15,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.329666666667
"MATTFORTE","RB","CHI","cbs","Matt Forte",693,2015,1,2,265.14,326.7,96.2448915611678,14.7322368421053,4.08764515105078,14.67774,3.2826,7.42506814253999,NA,NA,NA,NA,NA,NA,240,1006,7.5,92,77.6,725,3.4,0,0.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.7
"ANTONIOBROWN","WR","PIT","espn","Antonio Brown",57,2015,1,2,311.2,347.1,72.8670313923321,4.96611842105263,3.52842098793308,9.97048499999999,1.8413,6.88833904185353,0,0,0,0,0,0,5,30,0,115,171,1513,9,1.1,0.15,1.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.85
"ROBGRONKOWSKI","TE","NE","fox","Rob Gronkowski",837,2015,1,2,225.8,263.3,83.6746697956086,10.9674342105263,2.20303394740315,4.52192999999997,3.1826,2.36049745902555,NA,NA,NA,NA,NA,NA,0,0,0,88,141,1038,6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.8
"ANTONIOBROWN","WR","PIT","fp","Antonio Brown",57,2015,1,2,311.2,347.1,81.0870313923321,4.96611842105263,3.52842098793308,9.97048499999999,1.8413,8.06780839393355,NA,NA,NA,NA,NA,NA,4.7,24.8,0,116.5,171,1535.9,9.9,1.1,0.15,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.07
"ANTONIOBROWN","WR","PIT","nfl","Antonio Brown",57,2015,1,2,311.2,347.1,92.1170313923321,4.96611842105263,3.52842098793308,9.97048499999999,1.8413,5.55462979484436,0,0,0,NA,NA,NA,3.55,22,1,114.3,171,1580,10,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.1
