"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"ANDREWLUCK","QB","yahoo","Andrew Luck","IND",1,1,4460,37,16.3,56.8,267,2.1,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.6
"AARONRODGERS","QB","yahoo","Aaron Rodgers","GB",2,2,4280,33.6,7.7,50.5,258,1.8,0,0,0,0,0,0.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.98
"DREWBREES","QB","yahoo","Drew Brees","NO",3,3,4959,32.6,13.4,26.1,42.2,1,0,0,0,0,0,0.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.31
"RUSSELLWILSON","QB","yahoo","Russell Wilson","SEA",4,4,3433,26.8,9.1,102,629,3.4,0,0,0,0,0,0.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.59
"PEYTONMANNING","QB","yahoo","Peyton Manning","DEN",5,5,4549,33.8,13.3,23.9,-5.8,0.7,0,0,0,0,0,0.9,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.22
"RYANTANNEHILL","QB","yahoo","Ryan Tannehill","MIA",6,6,4362,26.5,13.7,52.1,256,1.7,0,0,0,0,0,0.8,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.01
"MATTRYAN","QB","yahoo","Matt Ryan","ATL",7,7,4566,27.5,12.4,28.7,89.3,0.9,0,0,0,0,0,0.8,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.98
"TONYROMO","QB","yahoo","Tony Romo","DAL",8,8,4138,32.9,10.7,26.9,70.7,0.7,0,0,0,0,0,0.9,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.41
"BENROETHLISBERGER","QB","yahoo","Ben Roethlisberger","PIT",9,9,4495,28.7,12.9,33.7,101,0.6,0,0,0,0,0,0.8,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.65
"ELIMANNING","QB","yahoo","Eli Manning","NYG",10,10,4691,29.7,16.9,16.6,29.7,0.4,0,0,0,0,0,0.8,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.04
"CAMNEWTON","QB","yahoo","Cam Newton","CAR",11,11,3484,21.8,13.7,103,554,4.2,0,0,0,0,0,0.7,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.87
"PHILIPRIVERS","QB","yahoo","Philip Rivers","SD",12,12,4508,29.2,15.8,31.5,70.6,0.6,0,0,0,0,0,0.8,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.54
"COLINKAEPERNICK","QB","yahoo","Colin Kaepernick","SF",13,13,3767,16.5,9.1,102,634,2.7,0,0,0,0,0,0.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.59
"MATTHEWSTAFFORD","QB","yahoo","Matthew Stafford","DET",14,14,4272,26,13.8,37.6,119,1.4,0,0,0,0,0,0.7,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.87
"MARCUSMARIOTA","QB","yahoo","Marcus Mariota","TEN",15,15,3649,20.4,15.6,88.4,531,2.8,0,0,0,0,0,0.6,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.75
"TEDDYBRIDGEWATER","QB","yahoo","Teddy Bridgewater","MIN",16,16,3816,22.2,13.6,58.4,317,2.5,0,0,0,0,0,0.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.66
"SAMBRADFORD","QB","yahoo","Sam Bradford","PHI",17,17,3849,27.2,11.9,41.3,117,1.7,0,0,0,0,0,0.8,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.18
"JOEFLACCO","QB","yahoo","Joe Flacco","BAL",18,18,4024,26.2,13.5,41.2,88,1.5,0,0,0,0,0,0.7,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.16
"CARSONPALMER","QB","yahoo","Carson Palmer","ARZ",19,19,4117,25.4,15.8,22.7,37.9,0.7,0,0,0,0,0,0.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.24
"JAYCUTLER","QB","yahoo","Jay Cutler","CHI",20,20,4027,24.5,18,43,194,0.9,0,0,0,0,0,0.7,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.08
"JAMEISWINSTON","QB","yahoo","Jameis Winston","TB",21,21,4207,21.5,19.5,47.8,182,1.5,0,0,0,0,0,0.6,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253.82
"ALEXSMITH","QB","yahoo","Alex Smith","KC",22,22,3554,21.5,9.5,53.7,274,1.7,0,0,0,0,0,0.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.22
"BLAKEBORTLES","QB","yahoo","Blake Bortles","JAC",23,23,3767,19.1,15.6,62.4,373,1.5,0,0,0,0,0,0.5,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.45
"ADRIANPETERSON","RB","yahoo","Adrian Peterson","MIN",1,24,0,0,0,283,1324,9.2,49.9,63.1,421,2,0,0.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.52
"ANDYDALTON","QB","yahoo","Andy Dalton","CIN",24,25,3576,21.4,17.7,50.4,162,2,0,0,0,0,0,0.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.64
"TOMBRADY","QB","yahoo","Tom Brady","NE",25,26,3427,24.2,8.3,26.1,31.7,1.4,0,0,0,0,0,0.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.66
"DEREKCARR","QB","yahoo","Derek Carr","OAK",26,27,4097,18.7,13.7,33.5,111,0.9,0,0,0,0,0,0.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.84
"EDDIELACY","RB","yahoo","Eddie Lacy","GB",2,28,0,0,0,286,1268,8.2,43,55.5,303,2.4,0,0.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.39
"ANTONIOBROWN","WR","yahoo","Antonio Brown","PIT",1,29,0,0,0,4.4,28.8,0.1,116,171,1524,9.3,1.1,0.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.76
"NICKFOLES","QB","yahoo","Nick Foles","STL",27,30,3488,18.4,11.8,34.1,153,1.1,0,0,0,0,0,0.5,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.37
"MARSHAWNLYNCH","RB","yahoo","Marshawn Lynch","SEA",3,31,0,0,0,281,1291,9.1,33,41.3,261,1.8,0,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.13
