"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"LESEANMCCOY","LeSean
McCoy
","RB","PHI",1.69779066280116,1.01505470303566,1,1.01505470303566,1
"ADRIANPETERSON","Adrian
Peterson
","RB","MIN",2.48055583325002,1.21334346764754,1,1.4826,2
"JAMAALCHARLES","Jamaal
Charles
","RB","KC",2.88013595921224,1.12181843726529,1,1.4826,3
"CALVINJOHNSON","Calvin
Johnson
","WR","DET",5.0926721983405,1.46856322697505,1,1.4826,5
"MATTFORTE","Matt
Forte
","RB","CHI",5.50054983504949,1.55428167951717,1,1.4826,6
"EDDIELACY","Eddie
Lacy
","RB","GB",5.79216235129461,1.12295963648078,1,1.4826,6
"DEMARYIUSTHOMAS","Demaryius
Thomas
","WR","DEN",7.94721583524943,2.42256872518726,1,1.4826,8
"JIMMYGRAHAM","Jimmy
Graham
","TE","NO",9.28261521543537,3.40568421049377,1,1.4826,9
"PEYTONMANNING","Peyton
Manning
","QB","DEN",9.70258922323303,6.12739025292564,1,7.413,9
"MARSHAWNLYNCH","Marshawn
Lynch
","RB","SEA",11.7084874537639,4.98166955299226,1,1.4826,9
"DEZBRYANT","Dez
Bryant
","WR","DAL",14.6899930020994,4.86284252083846,1,2.9652,18
"GIOVANIBERNARD","Giovani
Bernard
","RB","CIN",14.7830650804759,3.81638731787431,1,2.9652,14
"BRANDONMARSHALL","Brandon
Marshall
","WR","CHI",15.0143956812956,2.03856850507397,1,2.9652,15
"JULIOJONES","Julio
Jones
","WR","ATL",15.2158352494252,2.44938793770918,1,2.9652,15
"MONTEEBALL","Montee
Ball
","RB","DEN",15.8004598620414,3.18376263555556,1,2.9652,16
"DEMARCOMURRAY","DeMarco
Murray
","RB","DAL",16.3597920623813,2.95351759492176,1,2.9652,17
"DREWBREES","Drew
Brees
","QB","NO",16.5107467759672,4.34660567293421,1,4.4478,16
"AJGREEN","A.J.
Green
","WR","CIN",16.8679396181146,3.35183649093756,1,2.9652,17
"AARONRODGERS","Aaron
Rodgers
","QB","GB",16.9437168849345,4.65763808621011,1,4.4478,15
"JORDYNELSON","Jordy
Nelson
","WR","GB",17.2357292812156,5.79657614256004,1,4.4478,14
"ANTONIOBROWN","Antonio
Brown
","WR","PIT",22.2868139558133,4.78502181701576,1,2.9652,23
"LEVEONBELL","LeVeon
Bell
","RB","PIT",22.8301509547136,6.67541237835709,1,4.4478,24
"ARIANFOSTER","Arian
Foster
","RB","HOU",23.3530940717785,5.87062129037275,1,4.4478,24
"ALFREDMORRIS","Alfred
Morris
","RB","WAS",23.7160851744477,6.24702834289374,1,4.4478,24
